game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human,partial,probabilistic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1861,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",464,0.6,v2.4,2026-06-04T09:13:25.365240
1,human,partial,probabilistic,Claude Opus vs GPT-4o,2,2,84,84,2,20,64,0,Claude Opus,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1818,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1549,0.6,v2.4,2026-06-04T09:13:28.734264
1,human,partial,probabilistic,Claude Opus vs GPT-4o,3,2,71,71,2,20,51,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1948,0.6,GPT-4o,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",753,0.6,v2.4,2026-06-04T09:13:31.436065
1,human,partial,probabilistic,Claude Opus vs GPT-4o,4,2,61,61,2,20,41,0,Claude Opus,10,0.3,10,40,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1724,0.6,GPT-4o,10,0.5,10,40,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",467,0.6,v2.4,2026-06-04T09:13:33.629383
1,human,partial,probabilistic,Claude Opus vs GPT-4o,5,2,53,53,2,20,33,0,Claude Opus,10,0.25,10,50,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1993,0.6,GPT-4o,10,0.5,10,50,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",658,0.6,v2.4,2026-06-04T09:13:36.281645
1,human,partial,probabilistic,Claude Opus vs GPT-4o,6,2,46,46,2,20,26,0,Claude Opus,10,0.2,10,60,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1800,0.6,GPT-4o,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",463,0.6,v2.4,2026-06-04T09:13:38.547726
1,human,partial,probabilistic,Claude Opus vs GPT-4o,7,2,41,41,2,20,21,0,Claude Opus,10,0.15,10,70,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",977,0.6,GPT-4o,10,0.5,10,70,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",670,0.6,v2.4,2026-06-04T09:13:40.197514
1,human,partial,probabilistic,Claude Opus vs GPT-4o,8,2,37,37,2,20,17,0,Claude Opus,10,0.15,10,80,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1872,0.6,GPT-4o,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",574,0.6,v2.4,2026-06-04T09:13:42.645303
1,human,partial,probabilistic,Claude Opus vs GPT-4o,9,2,34,34,2,20,14,0,Claude Opus,10,0.15,10,90,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1837,0.6,GPT-4o,10,0.5,10,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",842,0.6,v2.4,2026-06-04T09:13:45.325972
1,human,partial,probabilistic,Claude Opus vs GPT-4o,10,2,31,31,2,20,11,0,Claude Opus,10,0.1,10,100,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1953,0.6,GPT-4o,10,0.5,10,100,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1132,0.6,v2.4,2026-06-04T09:13:48.414020
1,human,partial,probabilistic,Claude Opus vs GPT-4o,11,2,29,29,2,20,9,0,Claude Opus,10,0.1,10,110,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1827,0.6,GPT-4o,10,0.5,10,110,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",560,0.6,v2.4,2026-06-04T09:13:50.804133
1,human,partial,probabilistic,Claude Opus vs GPT-4o,12,2,20,27,2,20,0,1,Claude Opus,10,0.1,0,110,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2129,0.6,GPT-4o,10,0.5,0,110,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",497,0.6,v2.4,2026-06-04T09:13:53.433756
2,human,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,1,2,100,100,2,25,75,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1998,0.6,Gemini 2.5 Flash,15,0.5,15,15,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",5380,0.6,v2.4,2026-06-04T09:14:00.814508
2,human,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,2,2,80,80,2,29,51,0,Claude Opus,14,0.7,14,24,"{""belief"": 0.70, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",2045,0.6,Gemini 2.5 Flash,15,0.4,15,30,"{""belief"": 0.40, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",510,0.6,v2.4,2026-06-04T09:14:03.372806
2,human,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,3,2,61,61,2,30,31,0,Claude Opus,15,0.78,15,39,"{""belief"": 0.78, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1769,0.6,Gemini 2.5 Flash,15,0.45,15,45,"{""belief"": 0.45, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",589,0.6,v2.4,2026-06-04T09:14:05.734324
2,human,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,4,2,45,45,2,30,15,0,Claude Opus,15,0.8,15,54,"{""belief"": 0.80, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1631,0.6,Gemini 2.5 Flash,15,0.5,15,60,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",817,0.6,v2.4,2026-06-04T09:14:08.184978
2,human,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,5,2,32,32,2,30,2,0,Claude Opus,15,0.8,15,69,"{""belief"": 0.80, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",4941,0.6,Gemini 2.5 Flash,15,0.5,15,75,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",771,0.6,v2.4,2026-06-04T09:14:13.899178
