game_id,condition,matchup,round,model_a,action_a,belief_a,payoff_a,cumulative_a,raw_output_a,token_usage_a,response_time_a,temperature_a,prompt_version,model_b,action_b,belief_b,payoff_b,cumulative_b,raw_output_b,token_usage_b,response_time_b,temperature_b,timestamp
1,undisclosed,Claude Opus vs GPT-4o,1,Claude Opus,C,0.55,3,3,"{""belief"": 0.55, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2070.5,0.6,v4.0,GPT-4o,C,0.5,3,3,"{""belief"": 0.50, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",887.9,0.6,2026-04-23T09:28:02.593495
1,undisclosed,Claude Opus vs GPT-4o,2,Claude Opus,C,0.75,3,6,"{""belief"": 0.75, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1795.3,0.6,v4.0,GPT-4o,C,0.8,3,6,"{""belief"": 0.80, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",590.4,0.6,2026-04-23T09:28:04.990006
1,undisclosed,Claude Opus vs GPT-4o,3,Claude Opus,C,0.82,3,9,"{""belief"": 0.82, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1705.1,0.6,v4.0,GPT-4o,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1328.6,0.6,2026-04-23T09:28:08.064249
1,undisclosed,Claude Opus vs GPT-4o,4,Claude Opus,C,0.85,3,12,"{""belief"": 0.85, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1932.7,0.6,v4.0,GPT-4o,C,0.9,3,12,"{""belief"": 0.90, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",614.6,0.6,2026-04-23T09:28:10.626854
1,undisclosed,Claude Opus vs GPT-4o,5,Claude Opus,C,0.88,3,15,"{""belief"": 0.88, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1416.6,0.6,v4.0,GPT-4o,C,0.95,3,15,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",699.2,0.6,2026-04-23T09:28:12.758400
1,undisclosed,Claude Opus vs GPT-4o,6,Claude Opus,C,0.9,3,18,"{""belief"": 0.90, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1680.9,0.6,v4.0,GPT-4o,C,0.95,3,18,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",674.5,0.6,2026-04-23T09:28:15.129165
1,undisclosed,Claude Opus vs GPT-4o,7,Claude Opus,C,0.91,3,21,"{""belief"": 0.91, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2032.5,0.6,v4.0,GPT-4o,C,0.95,3,21,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1024.4,0.6,2026-04-23T09:28:18.201174
1,undisclosed,Claude Opus vs GPT-4o,8,Claude Opus,C,0.92,3,24,"{""belief"": 0.92, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1833.4,0.6,v4.0,GPT-4o,C,0.95,3,24,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",716.7,0.6,2026-04-23T09:28:20.760835
1,undisclosed,Claude Opus vs GPT-4o,9,Claude Opus,C,0.92,3,27,"{""belief"": 0.92, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1655.2,0.6,v4.0,GPT-4o,C,0.95,3,27,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1098.5,0.6,2026-04-23T09:28:23.528768
1,undisclosed,Claude Opus vs GPT-4o,10,Claude Opus,C,0.93,3,30,"{""belief"": 0.93, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2131.8,0.6,v4.0,GPT-4o,C,0.95,3,30,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1140.7,0.6,2026-04-23T09:28:26.802891
