game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1226,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",715,0.6,v2.4,2026-06-03T18:28:20.906940
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,2,2,84,84,2,18,66,0,Claude Opus,8,0.4,8,18,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1222,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",831,0.6,v2.4,2026-06-03T18:28:22.961216
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,3,2,73,73,2,19,54,0,Claude Opus,10,0.55,10,28,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1280,0.6,GPT-4o,9,0.3,9,29,"{""belief"": 0.30, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",726,0.6,v2.4,2026-06-03T18:28:24.968363
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,4,2,63,63,2,16,47,0,Claude Opus,8,0.55,8,36,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1608,0.6,GPT-4o,8,0.4,8,37,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",792,0.6,v2.4,2026-06-03T18:28:27.369194
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,5,2,58,58,2,15,43,0,Claude Opus,7,0.5,7,43,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1279,0.6,GPT-4o,8,0.3,8,45,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",874,0.6,v2.4,2026-06-03T18:28:29.525866
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,6,2,54,54,2,14,40,0,Claude Opus,7,0.5,7,50,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",5416,0.6,GPT-4o,7,0.25,7,52,"{""belief"": 0.25, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1667,0.6,v2.4,2026-06-03T18:28:36.611875
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,7,2,52,52,2,14,38,0,Claude Opus,7,0.45,7,57,"{""belief"": 0.45, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1680,0.6,GPT-4o,7,0.2,7,59,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",809,0.6,v2.4,2026-06-03T18:28:39.101859
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,8,2,50,50,2,14,36,0,Claude Opus,7,0.4,7,64,"{""belief"": 0.40, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1058,0.6,GPT-4o,7,0.2,7,66,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",789,0.6,v2.4,2026-06-03T18:28:40.951085
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,9,2,49,49,2,14,35,0,Claude Opus,7,0.35,7,71,"{""belief"": 0.35, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1069,0.6,GPT-4o,7,0.2,7,73,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",695,0.6,v2.4,2026-06-03T18:28:42.716365
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,10,2,48,48,2,14,34,0,Claude Opus,7,0.3,7,78,"{""belief"": 0.30, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1856,0.6,GPT-4o,7,0.2,7,80,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",793,0.6,v2.4,2026-06-03T18:28:45.368602
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,11,2,47,47,2,14,33,0,Claude Opus,7,0.25,7,85,"{""belief"": 0.25, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1759,0.6,GPT-4o,7,0.2,7,87,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",821,0.6,v2.4,2026-06-03T18:28:47.951337
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,12,2,46,46,2,14,32,0,Claude Opus,7,0.2,7,92,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1326,0.6,GPT-4o,7,0.2,7,94,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1415,0.6,v2.4,2026-06-03T18:28:50.696066
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,13,2,46,46,2,14,32,0,Claude Opus,7,0.2,7,99,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",2065,0.6,GPT-4o,7,0.2,7,101,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1020,0.6,v2.4,2026-06-03T18:28:53.783352
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,14,2,46,46,2,14,32,0,Claude Opus,7,0.15,7,106,"{""belief"": 0.15, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1844,0.6,GPT-4o,7,0.2,7,108,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",901,0.6,v2.4,2026-06-03T18:28:56.530062
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,15,2,46,46,2,14,32,0,Claude Opus,7,0.15,7,113,"{""belief"": 0.15, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1691,0.6,GPT-4o,7,0.2,7,115,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",786,0.6,v2.4,2026-06-03T18:28:59.009686
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,16,2,46,46,2,14,32,0,Claude Opus,7,0.15,7,120,"{""belief"": 0.15, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1927,0.6,GPT-4o,7,0.2,7,122,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1549,0.6,v2.4,2026-06-03T18:29:02.487836
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,17,2,46,46,2,14,32,0,Claude Opus,7,0.1,7,127,"{""belief"": 0.10, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1854,0.6,GPT-4o,7,0.2,7,129,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1151,0.6,v2.4,2026-06-03T18:29:05.496734
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,18,2,46,46,2,14,32,0,Claude Opus,7,0.1,7,134,"{""belief"": 0.10, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",2563,0.6,GPT-4o,7,0.2,7,136,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1210,0.6,v2.4,2026-06-03T18:29:09.272310
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,19,2,46,46,2,14,32,0,Claude Opus,7,0.1,7,141,"{""belief"": 0.10, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",2519,0.6,GPT-4o,7,0.2,7,143,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",815,0.6,v2.4,2026-06-03T18:29:12.609427
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,20,2,46,46,2,14,32,0,Claude Opus,7,0.1,7,148,"{""belief"": 0.10, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",4005,0.6,GPT-4o,7,0.2,7,150,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1234,0.6,v2.4,2026-06-03T18:29:17.851307
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1224,0.6,Gemini 2.5 Flash,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",6041,0.6,v2.4,2026-06-03T18:29:25.119833
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,2,2,84,84,2,18,66,0,Claude Opus,8,0.4,8,18,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1399,0.6,Gemini 2.5 Flash,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",750,0.6,v2.4,2026-06-03T18:29:27.270503
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,3,2,20,73,2,20,0,1,Claude Opus,10,0.55,0,18,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1124,0.6,Gemini 2.5 Flash,10,0.4,0,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",510,0.6,v2.4,2026-06-03T18:29:28.906097
3,undisclosed,full,probabilistic,GPT-4o vs Gemini 2.5 Flash,1,2,100,100,2,20,80,0,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",821,0.6,Gemini 2.5 Flash,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",5528,0.6,v2.4,2026-06-03T18:29:35.258363
