game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human,full,probabilistic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1998,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",618,0.6,v2.4,2026-06-03T19:10:51.073115
1,human,full,probabilistic,Claude Opus vs GPT-4o,2,2,84,84,2,18,66,0,Claude Opus,8,0.35,8,18,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1571,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",505,0.6,v2.4,2026-06-03T19:10:53.151271
1,human,full,probabilistic,Claude Opus vs GPT-4o,3,2,73,73,2,19,54,0,Claude Opus,10,0.5,10,28,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1391,0.6,GPT-4o,9,0.4,9,29,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",522,0.6,v2.4,2026-06-03T19:10:55.064977
1,human,full,probabilistic,Claude Opus vs GPT-4o,4,2,63,63,2,16,47,0,Claude Opus,8,0.5,8,36,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1021,0.6,GPT-4o,8,0.6,8,37,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",531,0.6,v2.4,2026-06-03T19:10:56.619731
1,human,full,probabilistic,Claude Opus vs GPT-4o,5,2,58,58,2,15,43,0,Claude Opus,7,0.45,7,43,"{""belief"": 0.45, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1096,0.6,GPT-4o,8,0.5,8,45,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",694,0.6,v2.4,2026-06-03T19:10:58.410720
1,human,full,probabilistic,Claude Opus vs GPT-4o,6,2,54,54,2,15,39,0,Claude Opus,7,0.45,7,50,"{""belief"": 0.45, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",2684,0.6,GPT-4o,8,0.4,8,53,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",514,0.6,v2.4,2026-06-03T19:11:01.610810
1,human,full,probabilistic,Claude Opus vs GPT-4o,7,2,51,51,2,15,36,0,Claude Opus,7,0.5,7,57,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1026,0.6,GPT-4o,8,0.4,8,61,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2043,0.6,v2.4,2026-06-03T19:11:04.683551
1,human,full,probabilistic,Claude Opus vs GPT-4o,8,2,49,49,2,16,33,0,Claude Opus,8,0.55,8,65,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2249,0.6,GPT-4o,8,0.4,8,69,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",513,0.6,v2.4,2026-06-03T19:11:07.447943
1,human,full,probabilistic,Claude Opus vs GPT-4o,9,2,46,46,2,16,30,0,Claude Opus,8,0.5,8,73,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1618,0.6,GPT-4o,8,0.5,8,77,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",732,0.6,v2.4,2026-06-03T19:11:09.801639
1,human,full,probabilistic,Claude Opus vs GPT-4o,10,2,44,44,2,15,29,0,Claude Opus,7,0.5,7,80,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1179,0.6,GPT-4o,8,0.5,8,85,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1131,0.6,v2.4,2026-06-03T19:11:12.114951
1,human,full,probabilistic,Claude Opus vs GPT-4o,11,2,43,43,2,16,27,0,Claude Opus,8,0.5,8,88,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1689,0.6,GPT-4o,8,0.5,8,93,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",537,0.6,v2.4,2026-06-03T19:11:14.343329
1,human,full,probabilistic,Claude Opus vs GPT-4o,12,2,42,42,2,16,26,0,Claude Opus,8,0.5,8,96,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",3238,0.6,GPT-4o,8,0.5,8,101,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",717,0.6,v2.4,2026-06-03T19:11:18.301343
1,human,full,probabilistic,Claude Opus vs GPT-4o,13,2,41,41,2,16,25,0,Claude Opus,8,0.5,8,104,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1238,0.6,GPT-4o,8,0.5,8,109,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",809,0.6,v2.4,2026-06-03T19:11:20.351024
1,human,full,probabilistic,Claude Opus vs GPT-4o,14,2,40,40,2,16,24,0,Claude Opus,8,0.45,8,112,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1223,0.6,GPT-4o,8,0.5,8,117,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",513,0.6,v2.4,2026-06-03T19:11:22.090501
1,human,full,probabilistic,Claude Opus vs GPT-4o,15,2,39,39,2,16,23,0,Claude Opus,8,0.45,8,120,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1225,0.6,GPT-4o,8,0.5,8,125,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1760,0.6,v2.4,2026-06-03T19:11:25.078323
1,human,full,probabilistic,Claude Opus vs GPT-4o,16,2,38,38,2,16,22,0,Claude Opus,8,0.45,8,128,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1507,0.6,GPT-4o,8,0.5,8,133,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",826,0.6,v2.4,2026-06-03T19:11:27.414452
1,human,full,probabilistic,Claude Opus vs GPT-4o,17,2,38,38,2,16,22,0,Claude Opus,8,0.4,8,136,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1329,0.6,GPT-4o,8,0.5,8,141,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",615,0.6,v2.4,2026-06-03T19:11:29.361122
1,human,full,probabilistic,Claude Opus vs GPT-4o,18,2,38,38,2,16,22,0,Claude Opus,8,0.4,8,144,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2145,0.6,GPT-4o,8,0.5,8,149,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1023,0.6,v2.4,2026-06-03T19:11:32.531684
1,human,full,probabilistic,Claude Opus vs GPT-4o,19,2,38,38,2,16,22,0,Claude Opus,8,0.35,8,152,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1455,0.6,GPT-4o,8,0.5,8,157,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",584,0.6,v2.4,2026-06-03T19:11:34.573487
1,human,full,probabilistic,Claude Opus vs GPT-4o,20,2,38,38,2,16,22,0,Claude Opus,8,0.35,8,160,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1993,0.6,GPT-4o,8,0.5,8,165,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",864,0.6,v2.4,2026-06-03T19:11:37.436740
2,human,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1447,0.6,Gemini 2.5 Flash,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",5021,0.6,v2.4,2026-06-03T19:11:43.905528
