game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1916,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",880,0.6,v2.4,2026-06-04T08:49:25.372495
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,2,2,84,84,2,20,64,0,Claude Opus,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2041,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",525,0.6,v2.4,2026-06-04T08:49:27.940306
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,3,2,71,71,2,20,51,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1574,0.6,GPT-4o,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",653,0.6,v2.4,2026-06-04T08:49:30.168567
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,4,2,61,61,2,20,41,0,Claude Opus,10,0.3,10,40,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1843,0.6,GPT-4o,10,0.5,10,40,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",511,0.6,v2.4,2026-06-04T08:49:32.525272
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,5,2,53,53,2,20,33,0,Claude Opus,10,0.25,10,50,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1710,0.6,GPT-4o,10,0.5,10,50,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",518,0.6,v2.4,2026-06-04T08:49:34.757451
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,6,2,46,46,2,20,26,0,Claude Opus,10,0.2,10,60,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2516,0.6,GPT-4o,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",554,0.6,v2.4,2026-06-04T08:49:37.830777
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,7,2,41,41,2,20,21,0,Claude Opus,10,0.15,10,70,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2909,0.6,GPT-4o,10,0.5,10,70,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",690,0.6,v2.4,2026-06-04T08:49:41.432541
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,8,2,37,37,2,20,17,0,Claude Opus,10,0.15,10,80,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1018,0.6,GPT-4o,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",750,0.6,v2.4,2026-06-04T08:49:43.203955
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,9,2,34,34,2,20,14,0,Claude Opus,10,0.15,10,90,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2276,0.6,GPT-4o,10,0.5,10,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",669,0.6,v2.4,2026-06-04T08:49:46.151753
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,10,2,31,31,2,20,11,0,Claude Opus,10,0.15,10,100,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",3425,0.6,GPT-4o,10,0.5,10,100,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",626,0.6,v2.4,2026-06-04T08:49:50.205495
