game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1260,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1226,0.6,v2.4,2026-06-08T10:23:11.418299
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,2,2,84,84,2,18,66,0,Claude Opus,8,0.35,8,18,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1545,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",622,0.6,v2.4,2026-06-08T10:23:13.588636
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,3,2,73,73,2,20,53,0,Claude Opus,10,0.5,10,28,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1586,0.6,GPT-4o,10,0.4,10,30,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",716,0.6,v2.4,2026-06-08T10:23:15.892759
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,4,2,62,62,2,17,45,0,Claude Opus,8,0.55,8,36,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1147,0.6,GPT-4o,9,0.5,9,39,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",619,0.6,v2.4,2026-06-08T10:23:17.660862
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,5,2,56,56,2,17,39,0,Claude Opus,8,0.5,8,44,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1838,0.6,GPT-4o,9,0.4,9,48,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",771,0.6,v2.4,2026-06-08T10:23:20.271619
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,6,2,51,51,2,16,35,0,Claude Opus,7,0.55,7,51,"{""belief"": 0.55, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1926,0.6,GPT-4o,9,0.4,9,57,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",643,0.6,v2.4,2026-06-08T10:23:22.842787
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,7,2,48,48,2,18,30,0,Claude Opus,9,0.6,9,60,"{""belief"": 0.60, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1673,0.6,GPT-4o,9,0.4,9,66,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",661,0.6,v2.4,2026-06-08T10:23:25.179169
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,8,2,44,44,2,16,28,0,Claude Opus,8,0.6,8,68,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",3434,0.6,GPT-4o,8,0.5,8,74,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",612,0.6,v2.4,2026-06-08T10:23:29.227085
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,9,2,42,42,2,16,26,0,Claude Opus,8,0.55,8,76,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1946,0.6,GPT-4o,8,0.5,8,82,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",655,0.6,v2.4,2026-06-08T10:23:31.829323
1,undisclosed,full,deterministic,Claude Opus vs GPT-4o,10,2,41,41,2,16,25,0,Claude Opus,8,0.5,8,84,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1595,0.6,GPT-4o,8,0.5,8,90,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1233,0.6,v2.4,2026-06-08T10:23:34.659292
