game_id,condition,matchup,round,model_a,action_a,belief_a,payoff_a,cumulative_a,raw_output_a,token_usage_a,response_time_a,temperature_a,prompt_version,model_b,action_b,belief_b,payoff_b,cumulative_b,raw_output_b,token_usage_b,response_time_b,temperature_b,timestamp
1,ai,Claude Opus vs GPT-4o,1,Claude Opus,C,0.55,3,3,"{""belief"": 0.55, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2441.0,0.6,v4.0,GPT-4o,C,0.5,3,3,"{""belief"": 0.50, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1160.8,0.6,2026-04-23T09:34:53.084408
1,ai,Claude Opus vs GPT-4o,2,Claude Opus,C,0.75,3,6,"{""belief"": 0.75, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1533.7,0.6,v4.0,GPT-4o,C,0.8,3,6,"{""belief"": 0.80, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",870.5,0.6,2026-04-23T09:34:55.514804
1,ai,Claude Opus vs GPT-4o,3,Claude Opus,C,0.82,3,9,"{""belief"": 0.82, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1866.4,0.6,v4.0,GPT-4o,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",598.7,0.6,2026-04-23T09:34:58.003093
1,ai,Claude Opus vs GPT-4o,4,Claude Opus,C,0.85,3,12,"{""belief"": 0.85, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1549.9,0.6,v4.0,GPT-4o,C,0.9,3,12,"{""belief"": 0.90, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",698.1,0.6,2026-04-23T09:35:00.264775
1,ai,Claude Opus vs GPT-4o,5,Claude Opus,C,0.87,3,15,"{""belief"": 0.87, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2001.3,0.6,v4.0,GPT-4o,C,0.95,3,15,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",847.0,0.6,2026-04-23T09:35:03.141876
1,ai,Claude Opus vs GPT-4o,6,Claude Opus,C,0.89,3,18,"{""belief"": 0.89, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2618.5,0.6,v4.0,GPT-4o,C,0.95,3,18,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",704.6,0.6,2026-04-23T09:35:06.475388
1,ai,Claude Opus vs GPT-4o,7,Claude Opus,C,0.9,3,21,"{""belief"": 0.90, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1933.7,0.6,v4.0,GPT-4o,C,0.95,3,21,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",617.1,0.6,2026-04-23T09:35:09.042705
1,ai,Claude Opus vs GPT-4o,8,Claude Opus,C,0.91,3,24,"{""belief"": 0.91, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1833.2,0.6,v4.0,GPT-4o,C,0.95,3,24,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",922.0,0.6,2026-04-23T09:35:11.803239
1,ai,Claude Opus vs GPT-4o,9,Claude Opus,C,0.92,3,27,"{""belief"": 0.92, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1677.6,0.6,v4.0,GPT-4o,C,0.95,3,27,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",663.4,0.6,2026-04-23T09:35:14.156313
1,ai,Claude Opus vs GPT-4o,10,Claude Opus,C,0.92,3,30,"{""belief"": 0.92, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1841.9,0.6,v4.0,GPT-4o,C,0.95,3,30,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2044.0,0.6,2026-04-23T09:35:18.057974
1,ai,Claude Opus vs GPT-4o,11,Claude Opus,C,0.93,3,33,"{""belief"": 0.93, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1713.7,0.6,v4.0,GPT-4o,C,0.95,3,33,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",792.6,0.6,2026-04-23T09:35:20.582896
1,ai,Claude Opus vs GPT-4o,12,Claude Opus,C,0.93,3,36,"{""belief"": 0.93, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2064.3,0.6,v4.0,GPT-4o,C,0.95,3,36,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",873.3,0.6,2026-04-23T09:35:23.536254
1,ai,Claude Opus vs GPT-4o,13,Claude Opus,C,0.93,3,39,"{""belief"": 0.93, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1852.6,0.6,v4.0,GPT-4o,C,0.95,3,39,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",711.6,0.6,2026-04-23T09:35:26.133119
1,ai,Claude Opus vs GPT-4o,14,Claude Opus,C,0.94,3,42,"{""belief"": 0.94, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1705.5,0.6,v4.0,GPT-4o,C,0.95,3,42,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",841.2,0.6,2026-04-23T09:35:28.714152
1,ai,Claude Opus vs GPT-4o,15,Claude Opus,C,0.94,3,45,"{""belief"": 0.94, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1407.3,0.6,v4.0,GPT-4o,C,0.95,3,45,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",850.4,0.6,2026-04-23T09:35:30.982962
1,ai,Claude Opus vs GPT-4o,16,Claude Opus,C,0.94,3,48,"{""belief"": 0.94, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2309.9,0.6,v4.0,GPT-4o,C,0.95,3,48,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",820.0,0.6,2026-04-23T09:35:34.127129
1,ai,Claude Opus vs GPT-4o,17,Claude Opus,C,0.94,3,51,"{""belief"": 0.94, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2134.0,0.6,v4.0,GPT-4o,C,0.95,3,51,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",799.2,0.6,2026-04-23T09:35:37.076518
1,ai,Claude Opus vs GPT-4o,18,Claude Opus,C,0.94,3,54,"{""belief"": 0.94, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1771.7,0.6,v4.0,GPT-4o,C,0.95,3,54,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",775.6,0.6,2026-04-23T09:35:39.654683
1,ai,Claude Opus vs GPT-4o,19,Claude Opus,C,0.94,3,57,"{""belief"": 0.94, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2340.7,0.6,v4.0,GPT-4o,C,0.95,3,57,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",735.9,0.6,2026-04-23T09:35:42.744712
1,ai,Claude Opus vs GPT-4o,20,Claude Opus,C,0.94,3,60,"{""belief"": 0.94, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",2115.9,0.6,v4.0,GPT-4o,C,0.95,3,60,"{""belief"": 0.95, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",716.9,0.6,2026-04-23T09:35:45.594404
2,ai,Claude Opus vs Gemini 2.5 Flash,1,Claude Opus,C,0.55,0,0,"{""belief"": 0.55, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1908.5,0.6,v4.0,Gemini 2.5 Flash,D,0.5,5,5,"{""belief"": 0.75, ""action"":","{""prompt"": 0, ""completion"": 0}",2565.1,0.6,2026-04-23T09:35:50.105545
2,ai,Claude Opus vs Gemini 2.5 Flash,2,Claude Opus,D,0.25,1,1,"{""belief"": 0.25, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",1836.9,0.6,v4.0,Gemini 2.5 Flash,D,0.05,1,6,"{""belief"": 0.05, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",706.2,0.6,2026-04-23T09:35:52.662279
2,ai,Claude Opus vs Gemini 2.5 Flash,3,Claude Opus,D,0.2,1,2,"{""belief"": 0.20, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",1929.5,0.6,v4.0,Gemini 2.5 Flash,D,0.05,1,7,"{""belief"": 0.05, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",510.8,0.6,2026-04-23T09:35:55.117480
2,ai,Claude Opus vs Gemini 2.5 Flash,4,Claude Opus,D,0.15,1,3,"{""belief"": 0.15, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",1957.0,0.6,v4.0,Gemini 2.5 Flash,D,0.05,1,8,"{""belief"": 0.05, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",995.1,0.6,2026-04-23T09:35:58.087069
2,ai,Claude Opus vs Gemini 2.5 Flash,5,Claude Opus,C,0.15,0,3,"{""belief"": 0.15, ""action"": ""COOPERATE""}","{""prompt"": 0, ""completion"": 0}",1754.4,0.6,v4.0,Gemini 2.5 Flash,D,0.05,5,13,"{""belief"": 0.05, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",901.4,0.6,2026-04-23T09:36:00.754735
2,ai,Claude Opus vs Gemini 2.5 Flash,6,Claude Opus,D,0.05,1,4,"{""belief"": 0.05, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",1716.1,0.6,v4.0,Gemini 2.5 Flash,D,0.05,1,14,"{""belief"": 0.05, ""action"": ""DEFECT""}","{""prompt"": 0, ""completion"": 0}",721.6,0.6,2026-04-23T09:36:03.208326
