game_id,condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,Claude Opus vs GPT-4o,1,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2323.6,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",831.2,0.6,v2.3,2026-05-28T14:22:04.226685
1,undisclosed,Claude Opus vs GPT-4o,2,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1651.4,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1024.4,0.6,v2.3,2026-05-28T14:22:06.903510
1,undisclosed,Claude Opus vs GPT-4o,3,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.3,10,30,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1687.1,0.6,GPT-4o,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",827.1,0.6,v2.3,2026-05-28T14:22:09.418879
1,undisclosed,Claude Opus vs GPT-4o,4,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.25,10,40,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1635.9,0.6,GPT-4o,10,0.5,10,40,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1023.1,0.6,v2.3,2026-05-28T14:22:12.080110
1,undisclosed,Claude Opus vs GPT-4o,5,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.2,10,50,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1226.3,0.6,GPT-4o,10,0.5,10,50,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1125.0,0.6,v2.3,2026-05-28T14:22:14.433491
1,undisclosed,Claude Opus vs GPT-4o,6,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,60,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1698.7,0.6,GPT-4o,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1065.1,0.6,v2.3,2026-05-28T14:22:17.199525
1,undisclosed,Claude Opus vs GPT-4o,7,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,70,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1190.7,0.6,GPT-4o,10,0.5,10,70,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",853.1,0.6,v2.3,2026-05-28T14:22:19.245135
1,undisclosed,Claude Opus vs GPT-4o,8,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,80,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",5220.9,0.6,GPT-4o,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1126.1,0.6,v2.3,2026-05-28T14:22:25.593991
1,undisclosed,Claude Opus vs GPT-4o,9,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,90,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1638.6,0.6,GPT-4o,10,0.5,10,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",819.9,0.6,v2.3,2026-05-28T14:22:28.054007
1,undisclosed,Claude Opus vs GPT-4o,10,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,100,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1089.1,0.6,GPT-4o,10,0.5,10,100,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",851.7,0.6,v2.3,2026-05-28T14:22:29.997456
1,undisclosed,Claude Opus vs GPT-4o,11,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,110,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1944.6,0.6,GPT-4o,10,0.5,10,110,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",819.7,0.6,v2.3,2026-05-28T14:22:32.764157
1,undisclosed,Claude Opus vs GPT-4o,12,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,120,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1329.7,0.6,GPT-4o,10,0.5,10,120,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1014.0,0.6,v2.3,2026-05-28T14:22:35.110470
1,undisclosed,Claude Opus vs GPT-4o,13,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,130,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1234.3,0.6,GPT-4o,10,0.5,10,130,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1023.3,0.6,v2.3,2026-05-28T14:22:37.370515
1,undisclosed,Claude Opus vs GPT-4o,14,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,140,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1842.2,0.6,GPT-4o,10,0.5,10,140,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",713.9,0.6,v2.3,2026-05-28T14:22:39.928458
1,undisclosed,Claude Opus vs GPT-4o,15,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,150,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2253.1,0.6,GPT-4o,10,0.5,10,150,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",805.5,0.6,v2.3,2026-05-28T14:22:42.989879
1,undisclosed,Claude Opus vs GPT-4o,16,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,160,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1869.2,0.6,GPT-4o,10,0.5,10,160,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1112.6,0.6,v2.3,2026-05-28T14:22:45.973830
1,undisclosed,Claude Opus vs GPT-4o,17,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.1,10,170,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",4669.1,0.6,GPT-4o,10,0.5,10,170,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",857.1,0.6,v2.3,2026-05-28T14:22:51.502506
1,undisclosed,Claude Opus vs GPT-4o,18,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,180,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1738.8,0.6,GPT-4o,10,0.5,10,180,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",819.3,0.6,v2.3,2026-05-28T14:22:54.062610
1,undisclosed,Claude Opus vs GPT-4o,19,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,190,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2148.3,0.6,GPT-4o,10,0.5,10,190,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",819.0,0.6,v2.3,2026-05-28T14:22:57.032241
1,undisclosed,Claude Opus vs GPT-4o,20,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.2,10,200,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1898.6,0.6,GPT-4o,10,0.5,10,200,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",864.4,0.6,v2.3,2026-05-28T14:22:59.797499
