game_id,condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,Claude Opus vs GPT-4o,1,2,100.0,100.0,10.0,25,75.0,0,Claude Opus,15,10.0,15,15,"{""belief"": 10.0, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",2081.3,0.6,GPT-4o,10,10.0,10,10,"{""belief"": 10.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1273.1,0.6,v2.1,2026-04-29T11:17:42.496087
1,undisclosed,Claude Opus vs GPT-4o,2,2,95.0,95.0,10.0,26,69.0,0,Claude Opus,16,12.0,16,31,"{""belief"": 12.0, ""extraction"": 16}","{""prompt"": 0, ""completion"": 0}",1523.5,0.6,GPT-4o,10,15.0,10,20,"{""belief"": 15.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1025.2,0.6,v2.1,2026-04-29T11:17:45.046778
1,undisclosed,Claude Opus vs GPT-4o,3,2,89.0,89.0,10.0,27,62.0,0,Claude Opus,17,12.0,17,48,"{""belief"": 12.0, ""extraction"": 17}","{""prompt"": 0, ""completion"": 0}",1589.8,0.6,GPT-4o,10,16.0,10,30,"{""belief"": 16.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",854.3,0.6,v2.1,2026-04-29T11:17:47.493177
1,undisclosed,Claude Opus vs GPT-4o,4,2,82.0,82.0,10.0,28,54.0,0,Claude Opus,18,12.0,18,66,"{""belief"": 12.0, ""extraction"": 18}","{""prompt"": 0, ""completion"": 0}",1501.1,0.6,GPT-4o,10,17.0,10,40,"{""belief"": 17.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",927.6,0.6,v2.1,2026-04-29T11:17:49.924529
1,undisclosed,Claude Opus vs GPT-4o,5,2,74.0,74.0,10.0,30,44.0,0,Claude Opus,20,10.0,20,86,"{""belief"": 10.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",1422.6,0.6,GPT-4o,10,18.0,10,50,"{""belief"": 18.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",816.5,0.6,v2.1,2026-04-29T11:17:52.166248
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,1,2,100.0,100.0,10.0,15,85.0,0,Claude Opus,15,10.0,15,15,"{""belief"": 10.0, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1845.5,0.6,Gemini 2.5 Flash,0,10.0,0,0,"{""belief"": 10.0,","{""prompt"": 0, ""completion"": 0}",2177.1,0.6,v2.1,2026-04-29T11:17:56.191889
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,2,2,100.0,100.0,10.0,35,65.0,0,Claude Opus,15,5.0,15,30,"{""belief"": 5.0, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1853.5,0.6,Gemini 2.5 Flash,20,15.0,20,20,"{""belief"": 15.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",439.9,0.6,v2.1,2026-04-29T11:17:58.487894
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,3,2,85.0,85.0,10.0,38,47.0,0,Claude Opus,18,15.0,18,48,"{""belief"": 15.0, ""extraction"": 18}","{""prompt"": 0, ""completion"": 0}",1732.3,0.6,Gemini 2.5 Flash,20,15.0,20,40,"{""belief"": 15.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",477.5,0.6,v2.1,2026-04-29T11:18:00.699593
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,4,2,67.0,67.0,10.0,40,27.0,0,Claude Opus,20,20.0,20,68,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",1676.5,0.6,Gemini 2.5 Flash,20,18.0,20,60,"{""belief"": 18.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",471.3,0.6,v2.1,2026-04-29T11:18:02.849308
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,5,2,47.0,47.0,10.0,40,7.0,0,Claude Opus,20,20.0,20,88,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",2063.7,0.6,Gemini 2.5 Flash,20,20.0,20,80,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",461.3,0.6,v2.1,2026-04-29T11:18:05.376544
