game_id,condition,matchup,round,model_a,action_a,belief_a,payoff_a,cumulative_a,raw_output_a,token_usage_a,response_time_a,temperature_a,prompt_version,model_b,action_b,belief_b,payoff_b,cumulative_b,raw_output_b,token_usage_b,response_time_b,temperature_b,timestamp
1,AI-AI,Claude Opus vs GPT-4o,1,Claude Opus,D,0.5,1,1,,{},464.9,0.7,v3.0,GPT-4o,D,0.5,1,1,,{},393.4,0.7,2026-03-22T18:55:48.302448
1,AI-AI,Claude Opus vs GPT-4o,2,Claude Opus,D,0.5,1,2,,{},127.7,0.7,v3.0,GPT-4o,D,0.5,1,2,,{},170.2,0.7,2026-03-22T18:55:48.613281
1,AI-AI,Claude Opus vs GPT-4o,3,Claude Opus,D,0.5,1,3,,{},126.4,0.7,v3.0,GPT-4o,D,0.5,1,3,,{},171.8,0.7,2026-03-22T18:55:48.918479
1,AI-AI,Claude Opus vs GPT-4o,4,Claude Opus,D,0.5,1,4,,{},127.6,0.7,v3.0,GPT-4o,D,0.5,1,4,,{},175.8,0.7,2026-03-22T18:55:49.243425
1,AI-AI,Claude Opus vs GPT-4o,5,Claude Opus,D,0.5,1,5,,{},135.2,0.7,v3.0,GPT-4o,D,0.5,1,5,,{},166.0,0.7,2026-03-22T18:55:49.552953
1,AI-AI,Claude Opus vs GPT-4o,6,Claude Opus,D,0.5,1,6,,{},154.5,0.7,v3.0,GPT-4o,D,0.5,1,6,,{},188.8,0.7,2026-03-22T18:55:49.904329
1,AI-AI,Claude Opus vs GPT-4o,7,Claude Opus,D,0.5,1,7,,{},163.3,0.7,v3.0,GPT-4o,D,0.5,1,7,,{},168.3,0.7,2026-03-22T18:55:50.536092
1,AI-AI,Claude Opus vs GPT-4o,8,Claude Opus,D,0.5,1,8,,{},123.5,0.7,v3.0,GPT-4o,D,0.5,1,8,,{},171.3,0.7,2026-03-22T18:55:51.352251
1,AI-AI,Claude Opus vs GPT-4o,9,Claude Opus,D,0.5,1,9,,{},117.2,0.7,v3.0,GPT-4o,D,0.5,1,9,,{},174.1,0.7,2026-03-22T18:55:52.123715
1,AI-AI,Claude Opus vs GPT-4o,10,Claude Opus,D,0.5,1,10,,{},127.3,0.7,v3.0,GPT-4o,D,0.5,1,10,,{},174.2,0.7,2026-03-22T18:55:52.964092
1,AI-AI,Claude Opus vs GPT-4o,11,Claude Opus,D,0.5,1,11,,{},154.4,0.7,v3.0,GPT-4o,D,0.5,1,11,,{},158.5,0.7,2026-03-22T18:55:53.296111
1,AI-AI,Claude Opus vs GPT-4o,12,Claude Opus,D,0.5,1,12,,{},124.3,0.7,v3.0,GPT-4o,D,0.5,1,12,,{},174.5,0.7,2026-03-22T18:55:53.637754
1,AI-AI,Claude Opus vs GPT-4o,13,Claude Opus,D,0.5,1,13,,{},125.4,0.7,v3.0,GPT-4o,D,0.5,1,13,,{},171.4,0.7,2026-03-22T18:55:53.940078
1,AI-AI,Claude Opus vs GPT-4o,14,Claude Opus,D,0.5,1,14,,{},805.1,0.7,v3.0,GPT-4o,D,0.5,1,14,,{},177.8,0.7,2026-03-22T18:55:54.938155
1,AI-AI,Claude Opus vs GPT-4o,15,Claude Opus,D,0.5,1,15,,{},126.7,0.7,v3.0,GPT-4o,D,0.5,1,15,,{},182.2,0.7,2026-03-22T18:55:55.267760
1,AI-AI,Claude Opus vs GPT-4o,16,Claude Opus,D,0.5,1,16,,{},117.9,0.7,v3.0,GPT-4o,D,0.5,1,16,,{},170.2,0.7,2026-03-22T18:55:55.586451
1,AI-AI,Claude Opus vs GPT-4o,17,Claude Opus,D,0.5,1,17,,{},135.1,0.7,v3.0,GPT-4o,D,0.5,1,17,,{},177.4,0.7,2026-03-22T18:55:55.922648
1,AI-AI,Claude Opus vs GPT-4o,18,Claude Opus,D,0.5,1,18,,{},132.4,0.7,v3.0,GPT-4o,D,0.5,1,18,,{},191.6,0.7,2026-03-22T18:55:56.255082
1,AI-AI,Claude Opus vs GPT-4o,19,Claude Opus,D,0.5,1,19,,{},125.5,0.7,v3.0,GPT-4o,D,0.5,1,19,,{},181.7,0.7,2026-03-22T18:55:56.581386
1,AI-AI,Claude Opus vs GPT-4o,20,Claude Opus,D,0.5,1,20,,{},304.5,0.7,v3.0,GPT-4o,D,0.5,1,20,,{},170.9,0.7,2026-03-22T18:55:57.061774
2,AI-AI,Claude Opus vs Gemini 1.5 Pro,1,Claude Opus,D,0.5,1,1,,{},176.5,0.7,v3.0,Gemini 1.5 Pro,D,0.5,1,1,,{},183.0,0.7,2026-03-22T18:55:57.439767
2,AI-AI,Claude Opus vs Gemini 1.5 Pro,2,Claude Opus,D,0.5,1,2,,{},118.1,0.7,v3.0,Gemini 1.5 Pro,D,0.5,1,2,,{},49.0,0.7,2026-03-22T18:55:57.613390
