game_id,condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,ai,Claude Opus vs GPT-4o,1,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1759.5,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",5336.4,0.6,v2.3,2026-05-28T14:38:57.822879
1,ai,Claude Opus vs GPT-4o,2,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.35,10,20,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2795.4,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",922.5,0.6,v2.3,2026-05-28T14:39:01.541997
1,ai,Claude Opus vs GPT-4o,3,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.3,10,30,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1840.9,0.6,GPT-4o,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",714.8,0.6,v2.3,2026-05-28T14:39:04.100065
1,ai,Claude Opus vs GPT-4o,4,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.25,10,40,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1839.1,0.6,GPT-4o,10,0.5,10,40,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",660.7,0.6,v2.3,2026-05-28T14:39:06.602442
1,ai,Claude Opus vs GPT-4o,5,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.2,10,50,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1181.0,0.6,GPT-4o,10,0.5,10,50,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",924.2,0.6,v2.3,2026-05-28T14:39:08.710431
1,ai,Claude Opus vs GPT-4o,6,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,60,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1736.9,0.6,GPT-4o,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",788.1,0.6,v2.3,2026-05-28T14:39:11.237763
1,ai,Claude Opus vs GPT-4o,7,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,70,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2690.4,0.6,GPT-4o,10,0.5,10,70,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1126.5,0.6,v2.3,2026-05-28T14:39:15.056827
1,ai,Claude Opus vs GPT-4o,8,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,80,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2046.5,0.6,GPT-4o,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",612.7,0.6,v2.3,2026-05-28T14:39:17.718371
1,ai,Claude Opus vs GPT-4o,9,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,90,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1430.1,0.6,GPT-4o,10,0.5,10,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",613.8,0.6,v2.3,2026-05-28T14:39:19.764513
1,ai,Claude Opus vs GPT-4o,10,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,100,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",3583.9,0.6,GPT-4o,10,0.5,10,100,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",820.2,0.6,v2.3,2026-05-28T14:39:24.169969
1,ai,Claude Opus vs GPT-4o,11,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,110,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1636.1,0.6,GPT-4o,10,0.5,10,110,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",614.5,0.6,v2.3,2026-05-28T14:39:26.423244
1,ai,Claude Opus vs GPT-4o,12,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,120,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1123.2,0.6,GPT-4o,10,0.5,10,120,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",617.3,0.6,v2.3,2026-05-28T14:39:28.166199
1,ai,Claude Opus vs GPT-4o,13,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,130,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",4072.6,0.6,GPT-4o,10,0.5,10,130,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",632.9,0.6,v2.3,2026-05-28T14:39:32.874398
1,ai,Claude Opus vs GPT-4o,14,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,140,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2354.2,0.6,GPT-4o,10,0.5,10,140,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",629.4,0.6,v2.3,2026-05-28T14:39:35.860501
1,ai,Claude Opus vs GPT-4o,15,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,150,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1824.1,0.6,GPT-4o,10,0.5,10,150,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",817.4,0.6,v2.3,2026-05-28T14:39:38.505268
1,ai,Claude Opus vs GPT-4o,16,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,160,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2090.2,0.6,GPT-4o,10,0.5,10,160,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",645.0,0.6,v2.3,2026-05-28T14:39:41.242524
1,ai,Claude Opus vs GPT-4o,17,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.15,10,170,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",3016.6,0.6,GPT-4o,10,0.5,10,170,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1433.9,0.6,v2.3,2026-05-28T14:39:45.695669
1,ai,Claude Opus vs GPT-4o,18,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.2,10,180,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1872.1,0.6,GPT-4o,10,0.5,10,180,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",972.1,0.6,v2.3,2026-05-28T14:39:48.542125
1,ai,Claude Opus vs GPT-4o,19,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.25,10,190,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1325.7,0.6,GPT-4o,10,0.5,10,190,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",822.5,0.6,v2.3,2026-05-28T14:39:50.692676
1,ai,Claude Opus vs GPT-4o,20,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,10,0.3,10,200,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1359.6,0.6,GPT-4o,10,0.5,10,200,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",640.2,0.6,v2.3,2026-05-28T14:39:52.694770
2,ai,Claude Opus vs Gemini 2.5 Flash,1,2,100.0,100.0,10.0,25,75.0,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1784.5,0.6,Gemini 2.5 Flash,15,0.5,15,15,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",5632.3,0.6,v2.3,2026-05-28T14:40:00.112756
2,ai,Claude Opus vs Gemini 2.5 Flash,2,2,95.0,95.0,10.0,29,66.0,0,Claude Opus,14,0.7,14,24,"{""belief"": 0.70, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1760.4,0.6,Gemini 2.5 Flash,15,0.2,15,30,"{""belief"": 0.20, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",6163.7,0.6,v2.3,2026-05-28T14:40:08.039250
2,ai,Claude Opus vs Gemini 2.5 Flash,3,2,86.0,86.0,10.0,30,56.0,0,Claude Opus,15,0.75,15,39,"{""belief"": 0.75, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1701.5,0.6,Gemini 2.5 Flash,15,0.3,15,45,"{""belief"": 0.30, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1085.3,0.6,v2.3,2026-05-28T14:40:10.829263
2,ai,Claude Opus vs Gemini 2.5 Flash,4,2,76.0,76.0,10.0,30,46.0,0,Claude Opus,15,0.8,15,54,"{""belief"": 0.80, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1630.9,0.6,Gemini 2.5 Flash,15,0.4,15,60,"{""belief"": 0.40, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",779.6,0.6,v2.3,2026-05-28T14:40:13.242689
2,ai,Claude Opus vs Gemini 2.5 Flash,5,2,66.0,66.0,10.0,30,36.0,0,Claude Opus,15,0.85,15,69,"{""belief"": 0.85, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1766.1,0.6,Gemini 2.5 Flash,15,0.5,15,75,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1004.4,0.6,v2.3,2026-05-28T14:40:16.017050
2,ai,Claude Opus vs Gemini 2.5 Flash,6,2,56.0,56.0,10.0,30,26.0,0,Claude Opus,15,0.85,15,84,"{""belief"": 0.85, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1195.1,0.6,Gemini 2.5 Flash,15,0.6,15,90,"{""belief"": 0.60, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1024.4,0.6,v2.3,2026-05-28T14:40:18.238845
2,ai,Claude Opus vs Gemini 2.5 Flash,7,2,46.0,46.0,10.0,30,16.0,0,Claude Opus,15,0.85,15,99,"{""belief"": 0.85, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1633.9,0.6,Gemini 2.5 Flash,15,0.7,15,105,"{""belief"": 0.70, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",615.6,0.6,v2.3,2026-05-28T14:40:20.491020
2,ai,Claude Opus vs Gemini 2.5 Flash,8,2,36.0,36.0,10.0,30,6.0,0,Claude Opus,15,0.85,15,114,"{""belief"": 0.85, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1877.0,0.6,Gemini 2.5 Flash,15,0.8,15,120,"{""belief"": 0.80, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",782.0,0.6,v2.3,2026-05-28T14:40:23.153009
2,ai,Claude Opus vs Gemini 2.5 Flash,9,2,26.0,26.0,10.0,26,0.0,0,Claude Opus,13,0.85,13,127,"{""belief"": 0.85, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",2148.6,0.6,Gemini 2.5 Flash,13,0.9,13,133,"{""belief"": 0.90, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",919.0,0.6,v2.3,2026-05-28T14:40:26.223460
3,ai,GPT-4o vs Gemini 2.5 Flash,1,2,100.0,100.0,10.0,25,75.0,0,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",904.3,0.6,Gemini 2.5 Flash,15,0.5,15,15,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",5458.3,0.6,v2.3,2026-05-28T14:40:32.589642
3,ai,GPT-4o vs Gemini 2.5 Flash,2,2,95.0,95.0,10.0,30,65.0,0,GPT-4o,10,0.6,10,20,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",800.2,0.6,Gemini 2.5 Flash,20,0.3,20,35,"{""belief"": 0.30, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",5694.9,0.6,v2.3,2026-05-28T14:40:39.087278
3,ai,GPT-4o vs Gemini 2.5 Flash,3,2,85.0,85.0,10.0,30,55.0,0,GPT-4o,10,0.7,10,30,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",885.7,0.6,Gemini 2.5 Flash,20,0.2,20,55,"{""belief"": 0.20, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",975.6,0.6,v2.3,2026-05-28T14:40:40.951015
