game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human,full,deterministic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2345,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",845,0.6,v2.4,2026-06-08T12:15:36.739519
1,human,full,deterministic,Claude Opus vs GPT-4o,2,2,84,84,2,18,66,0,Claude Opus,8,0.35,8,18,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1637,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",615,0.6,v2.4,2026-06-08T12:15:38.993507
1,human,full,deterministic,Claude Opus vs GPT-4o,3,2,73,73,2,20,53,0,Claude Opus,10,0.5,10,28,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1493,0.6,GPT-4o,10,0.4,10,30,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",601,0.6,v2.4,2026-06-08T12:15:41.090966
1,human,full,deterministic,Claude Opus vs GPT-4o,4,2,62,62,2,16,46,0,Claude Opus,8,0.55,8,36,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1073,0.6,GPT-4o,8,0.6,8,38,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",746,0.6,v2.4,2026-06-08T12:15:42.912929
1,human,full,deterministic,Claude Opus vs GPT-4o,5,2,57,57,2,15,42,0,Claude Opus,7,0.45,7,43,"{""belief"": 0.45, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1504,0.6,GPT-4o,8,0.5,8,46,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",996,0.6,v2.4,2026-06-08T12:15:45.416211
1,human,full,deterministic,Claude Opus vs GPT-4o,6,2,54,54,2,15,39,0,Claude Opus,7,0.4,7,50,"{""belief"": 0.40, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1663,0.6,GPT-4o,8,0.4,8,54,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",716,0.6,v2.4,2026-06-08T12:15:47.797654
1,human,full,deterministic,Claude Opus vs GPT-4o,7,2,51,51,2,16,35,0,Claude Opus,8,0.45,8,58,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1632,0.6,GPT-4o,8,0.4,8,62,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",3691,0.6,v2.4,2026-06-08T12:15:53.122989
1,human,full,deterministic,Claude Opus vs GPT-4o,8,2,48,48,2,15,33,0,Claude Opus,7,0.45,7,65,"{""belief"": 0.45, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1939,0.6,GPT-4o,8,0.4,8,70,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",721,0.6,v2.4,2026-06-08T12:15:55.785131
1,human,full,deterministic,Claude Opus vs GPT-4o,9,2,46,46,2,16,30,0,Claude Opus,8,0.5,8,73,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1738,0.6,GPT-4o,8,0.4,8,78,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",614,0.6,v2.4,2026-06-08T12:15:58.139898
1,human,full,deterministic,Claude Opus vs GPT-4o,10,2,44,44,2,15,29,0,Claude Opus,7,0.5,7,80,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",3377,0.6,GPT-4o,8,0.4,8,86,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",818,0.6,v2.4,2026-06-08T12:16:02.338028
