game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,22,78,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2024,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1468,0.6,v2.4,2026-06-08T16:37:20.624818
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),2,2,82,82,2,23,59,0,Claude Opus,12,0.6,12,22,"{""belief"": 0.60, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1504,0.6,Human Prior (Abatayo & Lynham 2022),11,0.55,11,23,"{""belief"": 0.55, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1479,0.6,v2.4,2026-06-08T16:37:23.608832
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),3,2,67,67,2,24,43,0,Claude Opus,12,0.55,12,34,"{""belief"": 0.55, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1697,0.6,Human Prior (Abatayo & Lynham 2022),12,0.6,12,35,"{""belief"": 0.60, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1360,0.6,v2.4,2026-06-08T16:37:26.669255
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),4,2,54,54,2,23,31,0,Claude Opus,12,0.6,12,46,"{""belief"": 0.60, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1112,0.6,Human Prior (Abatayo & Lynham 2022),11,0.62,11,46,"{""belief"": 0.62, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1343,0.6,v2.4,2026-06-08T16:37:29.127255
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),5,2,45,45,2,25,20,0,Claude Opus,12,0.55,12,58,"{""belief"": 0.55, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",2020,0.6,Human Prior (Abatayo & Lynham 2022),13,0.65,13,59,"{""belief"": 0.65, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",1333,0.6,v2.4,2026-06-08T16:37:32.482533
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),6,2,36,36,2,25,11,0,Claude Opus,13,0.65,13,71,"{""belief"": 0.65, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",1653,0.6,Human Prior (Abatayo & Lynham 2022),12,0.63,12,71,"{""belief"": 0.63, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1492,0.6,v2.4,2026-06-08T16:37:35.631164
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),7,2,22,11,2,22,0,1,Claude Opus,11,0.6,0,71,"{""belief"": 0.60, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",1137,0.6,Human Prior (Abatayo & Lynham 2022),11,0.65,0,71,"{""belief"": 0.65, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1395,0.6,v2.4,2026-06-08T16:37:38.165690
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,22,78,0,Claude Sonnet,10,0.4,10,10,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1261,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1400,0.6,v2.4,2026-06-08T16:37:40.834141
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),2,2,82,82,2,21,61,0,Claude Sonnet,10,0.55,10,20,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1196,0.6,Human Prior (Abatayo & Lynham 2022),11,0.55,11,23,"{""belief"": 0.55, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1430,0.6,v2.4,2026-06-08T16:37:43.462960
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),3,2,69,69,2,20,49,0,Claude Sonnet,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2531,0.6,Human Prior (Abatayo & Lynham 2022),10,0.5,10,33,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1359,0.6,v2.4,2026-06-08T16:37:47.354580
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),4,2,59,59,2,20,39,0,Claude Sonnet,10,0.4,10,40,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1161,0.6,Human Prior (Abatayo & Lynham 2022),10,0.45,10,43,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",3977,0.6,v2.4,2026-06-08T16:37:52.495321
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),5,2,51,51,2,21,30,0,Claude Sonnet,10,0.35,10,50,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1410,0.6,Human Prior (Abatayo & Lynham 2022),11,0.45,11,54,"{""belief"": 0.45, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1741,0.6,v2.4,2026-06-08T16:37:55.650263
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),6,2,44,44,2,20,24,0,Claude Sonnet,10,0.45,10,60,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1332,0.6,Human Prior (Abatayo & Lynham 2022),10,0.42,10,64,"{""belief"": 0.42, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1429,0.6,v2.4,2026-06-08T16:37:58.414177
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),7,2,39,39,2,22,17,0,Claude Sonnet,10,0.4,10,70,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1344,0.6,Human Prior (Abatayo & Lynham 2022),12,0.4,12,76,"{""belief"": 0.40, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1522,0.6,v2.4,2026-06-08T16:38:01.282374
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),8,2,34,34,2,20,14,0,Claude Sonnet,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1430,0.6,Human Prior (Abatayo & Lynham 2022),10,0.42,10,86,"{""belief"": 0.42, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1335,0.6,v2.4,2026-06-08T16:38:04.050261
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),9,2,21,14,2,21,0,1,Claude Sonnet,10,0.45,0,80,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2374,0.6,Human Prior (Abatayo & Lynham 2022),11,0.4,0,86,"{""belief"": 0.40, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1409,0.6,v2.4,2026-06-08T16:38:07.835363
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,22,78,0,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1442,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1318,0.6,v2.4,2026-06-08T16:38:10.599961
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),2,2,82,82,2,21,61,0,GPT-4o,10,0.6,10,20,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",969,0.6,Human Prior (Abatayo & Lynham 2022),11,0.55,11,23,"{""belief"": 0.55, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",2306,0.6,v2.4,2026-06-08T16:38:13.877519
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),3,2,69,69,2,19,50,0,GPT-4o,9,0.65,9,29,"{""belief"": 0.65, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1020,0.6,Human Prior (Abatayo & Lynham 2022),10,0.5,10,33,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1885,0.6,v2.4,2026-06-08T16:38:16.785991
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),4,2,60,60,2,18,42,0,GPT-4o,8,0.7,8,37,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2827,0.6,Human Prior (Abatayo & Lynham 2022),10,0.45,10,43,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1428,0.6,v2.4,2026-06-08T16:38:21.044361
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),5,2,54,54,2,17,37,0,GPT-4o,8,0.75,8,45,"{""belief"": 0.75, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1348,0.6,Human Prior (Abatayo & Lynham 2022),9,0.42,9,52,"{""belief"": 0.42, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1741,0.6,v2.4,2026-06-08T16:38:24.136316
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),6,2,50,50,2,19,31,0,GPT-4o,8,0.7,8,53,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1311,0.6,Human Prior (Abatayo & Lynham 2022),11,0.4,11,63,"{""belief"": 0.40, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1341,0.6,v2.4,2026-06-08T16:38:26.791165
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),7,2,45,45,2,18,27,0,GPT-4o,8,0.75,8,61,"{""belief"": 0.75, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1222,0.6,Human Prior (Abatayo & Lynham 2022),10,0.4,10,73,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1330,0.6,v2.4,2026-06-08T16:38:29.346436
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),8,2,42,42,2,18,24,0,GPT-4o,8,0.7,8,69,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",820,0.6,Human Prior (Abatayo & Lynham 2022),10,0.38,10,83,"{""belief"": 0.38, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1533,0.6,v2.4,2026-06-08T16:38:31.702180
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),9,2,39,39,2,20,19,0,GPT-4o,8,0.7,8,77,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1228,0.6,Human Prior (Abatayo & Lynham 2022),12,0.38,12,95,"{""belief"": 0.38, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1525,0.6,v2.4,2026-06-08T16:38:34.459383
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),10,2,35,35,2,18,17,0,GPT-4o,8,0.75,8,85,"{""belief"": 0.75, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",927,0.6,Human Prior (Abatayo & Lynham 2022),10,0.38,10,105,"{""belief"": 0.38, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1534,0.6,v2.4,2026-06-08T16:38:36.922217
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),11,2,34,34,2,17,17,0,GPT-4o,8,0.75,8,93,"{""belief"": 0.75, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",850,0.6,Human Prior (Abatayo & Lynham 2022),9,0.35,9,114,"{""belief"": 0.35, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1502,0.6,v2.4,2026-06-08T16:38:39.277301
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),12,2,34,34,2,19,15,0,GPT-4o,8,0.7,8,101,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",717,0.6,Human Prior (Abatayo & Lynham 2022),11,0.35,11,125,"{""belief"": 0.35, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1314,0.6,v2.4,2026-06-08T16:38:41.311644
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),13,2,32,32,2,18,14,0,GPT-4o,8,0.75,8,109,"{""belief"": 0.75, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1705,0.6,Human Prior (Abatayo & Lynham 2022),10,0.35,10,135,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1586,0.6,v2.4,2026-06-08T16:38:44.605959
3,human_prior,partial,deterministic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),14,2,18,14,2,18,0,1,GPT-4o,8,0.7,0,109,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",914,0.6,Human Prior (Abatayo & Lynham 2022),10,0.35,0,135,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",3276,0.6,v2.4,2026-06-08T16:38:48.800293
4,human_prior,partial,deterministic,GPT-4o-mini vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,22,78,0,GPT-4o-mini,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1328,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1324,0.6,v2.4,2026-06-08T16:38:51.457774
4,human_prior,partial,deterministic,GPT-4o-mini vs Human Prior (Abatayo & Lynham 2022),2,2,82,82,2,19,63,0,GPT-4o-mini,8,0.6,8,18,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1243,0.6,Human Prior (Abatayo & Lynham 2022),11,0.55,11,23,"{""belief"": 0.55, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1431,0.6,v2.4,2026-06-08T16:38:54.133958
