game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1507,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",806,0.6,v2.4,2026-06-03T18:19:45.600741
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,2,2,84,84,2,18,66,0,Claude Opus,8,0.4,8,18,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1468,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1017,0.6,v2.4,2026-06-03T18:19:48.088539
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,3,2,73,73,2,19,54,0,Claude Opus,10,0.55,10,28,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2667,0.6,GPT-4o,9,0.4,9,29,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",920,0.6,v2.4,2026-06-03T18:19:51.677782
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,4,2,63,63,2,16,47,0,Claude Opus,8,0.55,8,36,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1860,0.6,GPT-4o,8,0.6,8,37,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",688,0.6,v2.4,2026-06-03T18:19:54.228368
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,5,2,58,58,2,15,43,0,Claude Opus,7,0.5,7,43,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",982,0.6,GPT-4o,8,0.5,8,45,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",967,0.6,v2.4,2026-06-03T18:19:56.179494
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,6,2,54,54,2,14,40,0,Claude Opus,7,0.5,7,50,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",2091,0.6,GPT-4o,7,0.4,7,52,"{""belief"": 0.40, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",824,0.6,v2.4,2026-06-03T18:19:59.097193
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,7,2,52,52,2,14,38,0,Claude Opus,7,0.45,7,57,"{""belief"": 0.45, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",2361,0.6,GPT-4o,7,0.4,7,59,"{""belief"": 0.40, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",855,0.6,v2.4,2026-06-03T18:20:02.314186
1,undisclosed,full,probabilistic,Claude Opus vs GPT-4o,8,2,14,50,2,14,0,1,Claude Opus,7,0.4,0,57,"{""belief"": 0.40, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1748,0.6,GPT-4o,7,0.4,0,59,"{""belief"": 0.40, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1230,0.6,v2.4,2026-06-03T18:20:05.295214
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1641,0.6,Gemini 2.5 Flash,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",6037,0.6,v2.4,2026-06-03T18:20:12.977222
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,2,2,84,84,2,18,66,0,Claude Opus,8,0.4,8,18,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",12129,0.6,Gemini 2.5 Flash,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",5280,0.6,v2.4,2026-06-03T18:20:30.389380
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,3,2,73,73,2,20,53,0,Claude Opus,10,0.55,10,28,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1122,0.6,Gemini 2.5 Flash,10,0.4,10,30,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",499,0.6,v2.4,2026-06-03T18:20:32.013478
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,4,2,62,62,2,18,44,0,Claude Opus,8,0.6,8,36,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1849,0.6,Gemini 2.5 Flash,10,0.4,10,40,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",750,0.6,v2.4,2026-06-03T18:20:34.616951
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,5,2,55,55,2,20,35,0,Claude Opus,10,0.65,10,46,"{""belief"": 0.65, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1199,0.6,Gemini 2.5 Flash,10,0.4,10,50,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",873,0.6,v2.4,2026-06-03T18:20:36.691948
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,6,2,48,48,2,20,28,0,Claude Opus,10,0.7,10,56,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1572,0.6,Gemini 2.5 Flash,10,0.4,10,60,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",738,0.6,v2.4,2026-06-03T18:20:39.005530
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,7,2,42,42,2,20,22,0,Claude Opus,10,0.7,10,66,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",3048,0.6,Gemini 2.5 Flash,10,0.4,10,70,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",456,0.6,v2.4,2026-06-03T18:20:42.511243
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,8,2,38,38,2,20,18,0,Claude Opus,10,0.7,10,76,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1595,0.6,Gemini 2.5 Flash,10,0.4,10,80,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",655,0.6,v2.4,2026-06-03T18:20:44.763104
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,9,2,34,34,2,20,14,0,Claude Opus,10,0.7,10,86,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2414,0.6,Gemini 2.5 Flash,10,0.4,10,90,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",629,0.6,v2.4,2026-06-03T18:20:47.808541
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,10,2,31,31,2,20,11,0,Claude Opus,10,0.7,10,96,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2029,0.6,Gemini 2.5 Flash,10,0.4,10,100,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",616,0.6,v2.4,2026-06-03T18:20:50.456478
2,undisclosed,full,probabilistic,Claude Opus vs Gemini 2.5 Flash,11,2,29,29,2,20,9,0,Claude Opus,10,0.7,10,106,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1637,0.6,Gemini 2.5 Flash,10,0.4,10,110,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",716,0.6,v2.4,2026-06-03T18:20:52.811670
