game_id,condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,ai,Claude Opus vs GPT-4o,1,2,100.0,100.0,10.0,22,78.0,0,Claude Opus,12,10.0,12,12,"{""belief"": 10.0, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1852.2,0.6,GPT-4o,10,10.0,10,10,"{""belief"": 10.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",910.9,1.0,v2.2,2026-04-29T11:43:43.111611
1,ai,Claude Opus vs GPT-4o,2,2,98.0,98.0,10.0,23,75.0,0,Claude Opus,13,10.0,13,25,"{""belief"": 10.0, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",1665.1,0.6,GPT-4o,10,12.0,10,20,"{""belief"": 12.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1058.4,1.0,v2.2,2026-04-29T11:43:45.837319
1,ai,Claude Opus vs GPT-4o,3,2,95.0,95.0,10.0,24,71.0,0,Claude Opus,14,11.0,14,39,"{""belief"": 11.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1672.8,0.6,GPT-4o,10,13.0,10,30,"{""belief"": 13.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1077.7,1.0,v2.2,2026-04-29T11:43:48.592055
1,ai,Claude Opus vs GPT-4o,4,2,91.0,91.0,10.0,25,66.0,0,Claude Opus,15,12.0,15,54,"{""belief"": 12.0, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1397.6,0.6,GPT-4o,10,14.0,10,40,"{""belief"": 14.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",955.6,1.0,v2.2,2026-04-29T11:43:50.947709
1,ai,Claude Opus vs GPT-4o,5,2,86.0,86.0,10.0,30,56.0,0,Claude Opus,20,10.0,20,74,"{""belief"": 10.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",1683.5,0.6,GPT-4o,10,15.0,10,50,"{""belief"": 15.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",977.5,1.0,v2.2,2026-04-29T11:43:53.611153
2,ai,Claude Opus vs Gemini 2.5 Flash,1,2,100.0,100.0,10.0,35,65.0,0,Claude Opus,15,10.0,15,15,"{""belief"": 10.0, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1169.9,0.6,Gemini 2.5 Flash,20,20.0,20,20,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",3772.4,0.6,v2.2,2026-04-29T11:43:58.557054
2,ai,Claude Opus vs Gemini 2.5 Flash,2,2,85.0,85.0,10.0,40,45.0,0,Claude Opus,20,18.0,20,35,"{""belief"": 18.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",1993.1,0.6,Gemini 2.5 Flash,20,18.0,20,40,"{""belief"": 18.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",5330.3,0.6,v2.2,2026-04-29T11:44:05.882162
2,ai,Claude Opus vs Gemini 2.5 Flash,3,2,65.0,65.0,10.0,40,25.0,0,Claude Opus,20,20.0,20,55,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",1839.8,0.6,Gemini 2.5 Flash,20,20.0,20,60,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",5423.5,0.6,v2.2,2026-04-29T11:44:13.148250
2,ai,Claude Opus vs Gemini 2.5 Flash,4,2,45.0,45.0,10.0,40,5.0,0,Claude Opus,20,20.0,20,75,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",1741.1,0.6,Gemini 2.5 Flash,20,20.0,20,80,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",5632.3,0.6,v2.2,2026-04-29T11:44:20.524685
2,ai,Claude Opus vs Gemini 2.5 Flash,5,2,33.0,25.0,10.0,33,0.0,1,Claude Opus,20,20.0,0,75,"{""belief"": 20.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",12799.1,0.6,Gemini 2.5 Flash,13,12.0,0,80,"{""belief"": 12.0, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",5322.5,0.6,v2.2,2026-04-29T11:44:38.648562
