game_id,matchup,round,model_a,action_a,belief_a,payoff_a,cumulative_a,raw_output_a,response_time_a,model_b,action_b,belief_b,payoff_b,cumulative_b,raw_output_b,response_time_b,temperature,prompt_version,timestamp
1,Gemini Flash vs Claude Sonnet,1,Gemini Flash,C,0.6,3,3,"{""belief"": 0.60, ""action"": ""COOPERATE""}",5347,Claude Sonnet,C,0.5,3,3,"{""belief"": 0.50, ""action"": ""COOPERATE""}",944.7,0.7,v1.0,2026-03-27T10:21:51.329420
1,Gemini Flash vs Claude Sonnet,2,Gemini Flash,C,0.8,3,6,"{""belief"": 0.80, ""action"": ""COOPERATE""}",558.2,Claude Sonnet,C,0.75,3,6,"{""belief"": 0.75, ""action"": ""COOPERATE""}",3120.1,0.7,v1.0,2026-03-27T10:22:01.009594
1,Gemini Flash vs Claude Sonnet,3,Gemini Flash,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}",893.9,Claude Sonnet,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}",2416.3,0.7,v1.0,2026-03-27T10:22:10.327926
1,Gemini Flash vs Claude Sonnet,4,Gemini Flash,C,0.9,3,12,"{""belief"": 0.90, ""action"": ""COOPERATE""}",702.4,Claude Sonnet,C,0.9,3,12,"{""belief"": 0.90, ""action"": ""COOPERATE""}",2909,0.7,v1.0,2026-03-27T10:22:19.945645
1,Gemini Flash vs Claude Sonnet,5,Gemini Flash,C,0.92,3,15,"{""belief"": 0.92, ""action"": ""COOPERATE""}",764.7,Claude Sonnet,C,0.9,3,15,"{""belief"": 0.90, ""action"": ""COOPERATE""}",2136,0.7,v1.0,2026-03-27T10:22:28.849382
1,Gemini Flash vs Claude Sonnet,6,Gemini Flash,C,0.93,3,18,"{""belief"": 0.93, ""action"": ""COOPERATE""}",790.9,Claude Sonnet,C,0.9,3,18,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1870,0.7,v1.0,2026-03-27T10:22:37.511689
1,Gemini Flash vs Claude Sonnet,7,Gemini Flash,C,0.94,3,21,"{""belief"": 0.94, ""action"": ""COOPERATE""}",1853.6,Claude Sonnet,C,0.9,3,21,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1106.4,0.7,v1.0,2026-03-27T10:22:46.473727
1,Gemini Flash vs Claude Sonnet,8,Gemini Flash,C,0.95,3,24,"{""belief"": 0.95, ""action"": ""COOPERATE""}",921.1,Claude Sonnet,C,0.9,3,24,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1225,0.7,v1.0,2026-03-27T10:22:54.628107
1,Gemini Flash vs Claude Sonnet,9,Gemini Flash,C,0.96,3,27,"{""belief"": 0.96, ""action"": ""COOPERATE""}",834,Claude Sonnet,C,0.9,3,27,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1546.9,0.7,v1.0,2026-03-27T10:23:03.016194
1,Gemini Flash vs Claude Sonnet,10,Gemini Flash,C,0.97,3,30,"{""belief"": 0.97, ""action"": ""COOPERATE""}",798.2,Claude Sonnet,C,0.9,3,30,"{""belief"": 0.90, ""action"": ""COOPERATE""}",849.3,0.7,v1.0,2026-03-27T10:23:10.666069
1,Gemini Flash vs Claude Sonnet,11,Gemini Flash,C,0.98,3,33,"{""belief"": 0.98, ""action"": ""COOPERATE""}",858,Claude Sonnet,C,0.9,3,33,"{""belief"": 0.90, ""action"": ""COOPERATE""}",886.7,0.7,v1.0,2026-03-27T10:23:18.425485
1,Gemini Flash vs Claude Sonnet,12,Gemini Flash,C,0.98,3,36,"{""belief"": 0.98, ""action"": ""COOPERATE""}",1037.7,Claude Sonnet,C,0.9,3,36,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1162.2,0.7,v1.0,2026-03-27T10:23:26.629180
1,Gemini Flash vs Claude Sonnet,13,Gemini Flash,C,0.98,3,39,"{""belief"": 0.98, ""action"": ""COOPERATE""}",1271.5,Claude Sonnet,C,0.9,3,39,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1094.2,0.7,v1.0,2026-03-27T10:23:35.001752
1,Gemini Flash vs Claude Sonnet,14,Gemini Flash,C,0.99,3,42,"{""belief"": 0.99, ""action"": ""COOPERATE""}",846.9,Claude Sonnet,C,0.9,3,42,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1265,0.7,v1.0,2026-03-27T10:23:43.115973
1,Gemini Flash vs Claude Sonnet,15,Gemini Flash,C,0.99,3,45,"{""belief"": 0.99, ""action"": ""COOPERATE""}",782.5,Claude Sonnet,C,0.9,3,45,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1035.5,0.7,v1.0,2026-03-27T10:23:50.937017
1,Gemini Flash vs Claude Sonnet,16,Gemini Flash,C,0.99,3,48,"{""belief"": 0.99, ""action"": ""COOPERATE""}",837.2,Claude Sonnet,C,0.9,3,48,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1198,0.7,v1.0,2026-03-27T10:23:58.974676
1,Gemini Flash vs Claude Sonnet,17,Gemini Flash,C,0.99,3,51,"{""belief"": 0.99, ""action"": ""COOPERATE""}",672.3,Claude Sonnet,C,0.9,3,51,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1047.7,0.7,v1.0,2026-03-27T10:24:06.697884
1,Gemini Flash vs Claude Sonnet,18,Gemini Flash,C,0.99,3,54,"{""belief"": 0.99, ""action"": ""COOPERATE""}",773.7,Claude Sonnet,C,0.9,3,54,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1217.2,0.7,v1.0,2026-03-27T10:24:14.691609
1,Gemini Flash vs Claude Sonnet,19,Gemini Flash,C,0.99,3,57,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1309.6,Claude Sonnet,C,0.9,3,57,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1221.6,0.7,v1.0,2026-03-27T10:24:23.229918
1,Gemini Flash vs Claude Sonnet,20,Gemini Flash,D,0.7,5,62,"{""belief"": 0.70, ""action"": ""DEFECT""}",7469.4,Claude Sonnet,C,0.9,0,57,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1177.8,0.7,v1.0,2026-03-27T10:24:37.881591
2,Gemini Flash vs Gpt4O Mini,1,Gemini Flash,C,0.6,3,3,"{""belief"": 0.6, ""action"": ""COOPERATE""}",3780.1,Gpt4O Mini,C,0.5,3,3,"{""belief"": 0.5, ""action"": ""COOPERATE""}",1749.7,0.7,v1.0,2026-03-27T10:24:50.011468
2,Gemini Flash vs Gpt4O Mini,2,Gemini Flash,C,0.8,3,6,"{""belief"": 0.8, ""action"": ""COOPERATE""}",740.6,Gpt4O Mini,C,0.8,3,6,"{""belief"": 0.8, ""action"": ""COOPERATE""}",1719.8,0.7,v1.0,2026-03-27T10:24:58.473123
2,Gemini Flash vs Gpt4O Mini,3,Gemini Flash,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}",1039.5,Gpt4O Mini,C,0.9,3,9,"{""belief"": 0.9, ""action"": ""COOPERATE""}",1940.2,0.7,v1.0,2026-03-27T10:25:07.454630
2,Gemini Flash vs Gpt4O Mini,4,Gemini Flash,C,0.9,3,12,"{""belief"": 0.9, ""action"": ""COOPERATE""}",564.4,Gpt4O Mini,C,0.95,3,12,"{""belief"": 0.95, ""action"": ""COOPERATE""}",2089.7,0.7,v1.0,2026-03-27T10:25:16.116974
2,Gemini Flash vs Gpt4O Mini,5,Gemini Flash,C,0.92,3,15,"{""belief"": 0.92, ""action"": ""COOPERATE""}",541,Gpt4O Mini,C,0.97,3,15,"{""belief"": 0.97, ""action"": ""COOPERATE""}",2366.2,0.7,v1.0,2026-03-27T10:25:25.026394
2,Gemini Flash vs Gpt4O Mini,6,Gemini Flash,C,0.93,3,18,"{""belief"": 0.93, ""action"": ""COOPERATE""}",565.5,Gpt4O Mini,C,0.98,3,18,"{""belief"": 0.98, ""action"": ""COOPERATE""}",731,0.7,v1.0,2026-03-27T10:25:32.326890
2,Gemini Flash vs Gpt4O Mini,7,Gemini Flash,C,0.94,3,21,"{""belief"": 0.94, ""action"": ""COOPERATE""}",595.4,Gpt4O Mini,C,0.99,3,21,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1234.3,0.7,v1.0,2026-03-27T10:25:40.158918
