game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,22,78,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1157,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1265,0.6,v2.4,2026-06-03T19:35:11.935709
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),2,2,82,82,2,23,59,0,Claude Opus,12,0.6,12,22,"{""belief"": 0.60, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1239,0.6,Human Prior (Abatayo & Lynham 2022),11,0.55,11,23,"{""belief"": 0.55, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",3360,0.6,v2.4,2026-06-03T19:35:16.537332
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),3,2,67,67,2,21,46,0,Claude Opus,10,0.65,10,32,"{""belief"": 0.65, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",966,0.6,Human Prior (Abatayo & Lynham 2022),11,0.6,11,34,"{""belief"": 0.60, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1562,0.6,v2.4,2026-06-03T19:35:19.066798
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),4,2,57,57,2,18,39,0,Claude Opus,8,0.65,8,40,"{""belief"": 0.65, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2121,0.6,Human Prior (Abatayo & Lynham 2022),10,0.55,10,44,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1429,0.6,v2.4,2026-06-03T19:35:22.619121
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),5,2,51,51,2,17,34,0,Claude Opus,8,0.7,8,48,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1773,0.6,Human Prior (Abatayo & Lynham 2022),9,0.5,9,53,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1314,0.6,v2.4,2026-06-03T19:35:25.708805
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),6,2,47,47,2,16,31,0,Claude Opus,7,0.65,7,55,"{""belief"": 0.65, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1760,0.6,Human Prior (Abatayo & Lynham 2022),9,0.5,9,62,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1196,0.6,v2.4,2026-06-03T19:35:28.667316
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),7,2,45,45,2,18,27,0,Claude Opus,8,0.65,8,63,"{""belief"": 0.65, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1639,0.6,Human Prior (Abatayo & Lynham 2022),10,0.45,10,72,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1423,0.6,v2.4,2026-06-03T19:35:31.731994
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),8,2,42,42,2,16,26,0,Claude Opus,7,0.7,7,70,"{""belief"": 0.70, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1729,0.6,Human Prior (Abatayo & Lynham 2022),9,0.48,9,81,"{""belief"": 0.48, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1483,0.6,v2.4,2026-06-03T19:35:34.945528
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),9,2,41,41,2,16,25,0,Claude Opus,8,0.7,8,78,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1257,0.6,Human Prior (Abatayo & Lynham 2022),8,0.45,8,89,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1208,0.6,v2.4,2026-06-03T19:35:37.412582
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),10,2,40,40,2,17,23,0,Claude Opus,8,0.65,8,86,"{""belief"": 0.65, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",6220,0.6,Human Prior (Abatayo & Lynham 2022),9,0.5,9,98,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1731,0.6,v2.4,2026-06-03T19:35:45.366250
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),11,2,38,38,2,17,21,0,Claude Opus,8,0.65,8,94,"{""belief"": 0.65, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1776,0.6,Human Prior (Abatayo & Lynham 2022),9,0.5,9,107,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1618,0.6,v2.4,2026-06-03T19:35:48.762110
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),12,2,37,37,2,16,21,0,Claude Opus,8,0.65,8,102,"{""belief"": 0.65, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1061,0.6,Human Prior (Abatayo & Lynham 2022),8,0.5,8,115,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1690,0.6,v2.4,2026-06-03T19:35:51.516020
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),13,2,17,37,2,17,0,1,Claude Opus,8,0.6,0,102,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1809,0.6,Human Prior (Abatayo & Lynham 2022),9,0.52,0,115,"{""belief"": 0.52, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1397,0.6,v2.4,2026-06-03T19:35:54.724371
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,22,78,0,Claude Sonnet,10,0.4,10,10,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1599,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1331,0.6,v2.4,2026-06-03T19:35:57.658749
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),2,2,82,82,2,21,61,0,Claude Sonnet,10,0.55,10,20,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1839,0.6,Human Prior (Abatayo & Lynham 2022),11,0.55,11,23,"{""belief"": 0.55, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1642,0.6,v2.4,2026-06-03T19:36:01.142949
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),3,2,69,69,2,19,50,0,Claude Sonnet,9,0.6,9,29,"{""belief"": 0.60, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1633,0.6,Human Prior (Abatayo & Lynham 2022),10,0.5,10,33,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2334,0.6,v2.4,2026-06-03T19:36:05.111546
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),4,2,60,60,2,17,43,0,Claude Sonnet,8,0.55,8,37,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1554,0.6,Human Prior (Abatayo & Lynham 2022),9,0.45,9,42,"{""belief"": 0.45, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1359,0.6,v2.4,2026-06-03T19:36:08.027104
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),5,2,54,54,2,18,36,0,Claude Sonnet,8,0.5,8,45,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1606,0.6,Human Prior (Abatayo & Lynham 2022),10,0.45,10,52,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1436,0.6,v2.4,2026-06-03T19:36:11.071577
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),6,2,49,49,2,15,34,0,Claude Sonnet,7,0.55,7,52,"{""belief"": 0.55, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1421,0.6,Human Prior (Abatayo & Lynham 2022),8,0.4,8,60,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",4149,0.6,v2.4,2026-06-03T19:36:16.644368
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),7,2,47,47,2,16,31,0,Claude Sonnet,7,0.5,7,59,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1805,0.6,Human Prior (Abatayo & Lynham 2022),9,0.42,9,69,"{""belief"": 0.42, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1733,0.6,v2.4,2026-06-03T19:36:20.185326
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),8,2,45,45,2,15,30,0,Claude Sonnet,7,0.55,7,66,"{""belief"": 0.55, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1740,0.6,Human Prior (Abatayo & Lynham 2022),8,0.4,8,77,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2844,0.6,v2.4,2026-06-03T19:36:24.772308
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),9,2,44,44,2,16,28,0,Claude Sonnet,7,0.5,7,73,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1555,0.6,Human Prior (Abatayo & Lynham 2022),9,0.4,9,86,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1532,0.6,v2.4,2026-06-03T19:36:27.861801
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),10,2,42,42,2,15,27,0,Claude Sonnet,6,0.55,6,79,"{""belief"": 0.55, ""extraction"": 6}","{""prompt"": 0, ""completion"": 0}",1324,0.6,Human Prior (Abatayo & Lynham 2022),9,0.42,9,95,"{""belief"": 0.42, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1648,0.6,v2.4,2026-06-03T19:36:30.835633
2,human_prior,full,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),11,2,42,42,2,15,27,0,Claude Sonnet,7,0.6,7,86,"{""belief"": 0.60, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1841,0.6,Human Prior (Abatayo & Lynham 2022),8,0.38,8,103,"{""belief"": 0.38, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1768,0.6,v2.4,2026-06-03T19:36:34.445869
