game_id,condition,matchup,round,model_a,action_a,belief_a,payoff_a,cumulative_a,raw_output_a,token_usage_a,response_time_a,temperature_a,prompt_version,model_b,action_b,belief_b,payoff_b,cumulative_b,raw_output_b,token_usage_b,response_time_b,temperature_b,timestamp
1,human_prior,Claude Opus vs GPT-4o,1,Claude Opus,C,0.5,3,3,"This is the first round with no history to analyze. I want to establish cooperation early since mutual expansion yields 3 points each, which is better than mutual holding (1 point each) over repeated rounds. Starting with EXPAND signals willingness to cooperate and can set up a productive pattern for future rounds.

{""belief"": 0.50, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",4018.7,0.2,v4.4,GPT-4o,C,0.5,3,3,"With no previous rounds to analyze, I have no information about my opponent's strategy. In this initial round, expanding is a reasonable choice because it sets a cooperative tone and could lead to mutual expansion in future rounds, maximizing my score over time. I will assume a 50% chance that my opponent will also choose to expand.

{""belief"": 0.50, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",1364.4,0.2,2026-05-21T17:13:26.874153
1,human_prior,Claude Opus vs GPT-4o,2,Claude Opus,C,0.8,3,6,"My opponent expanded in the first round, matching my cooperation. This is a great start — mutual expansion gives us both 3 points per round, which is the best sustainable outcome. I'll continue expanding to maintain this cooperative relationship and maximize long-term payoff.

{""belief"": 0.80, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",3374.4,0.2,v4.4,GPT-4o,C,0.75,3,6,"In the previous round, both my opponent and I chose to expand, resulting in a mutual payoff of 3 points each. This suggests that my opponent might be open to cooperation. To continue maximizing my score, I will expand again, expecting that my opponent will likely do the same to maintain mutual benefit.

{""belief"": 0.75, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",3119.5,0.2,2026-05-21T17:13:33.375232
1,human_prior,Claude Opus vs GPT-4o,3,Claude Opus,C,0.85,3,9,"We've established a solid cooperative pattern with two consecutive rounds of mutual expansion, earning 3 points each round. My opponent appears to be a cooperator, likely playing tit-for-tat or a similar cooperative strategy. I'll continue expanding to maintain this mutually beneficial arrangement.

{""belief"": 0.85, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",5902.1,0.2,v4.4,GPT-4o,C,0.8,3,9,"In both previous rounds, my opponent and I have consistently chosen to expand, resulting in mutual cooperation and a steady payoff of 3 points each. This pattern suggests that my opponent is likely to continue expanding, aiming for mutual benefit. To maximize my score, I will continue expanding as well, expecting the same cooperative behavior from my opponent.

{""belief"": 0.80, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",1683.3,0.2,2026-05-21T17:13:40.968600
1,human_prior,Claude Opus vs GPT-4o,4,Claude Opus,C,0.88,3,12,"Three consecutive rounds of mutual cooperation — the pattern is very strong. My opponent is clearly committed to a cooperative strategy, and deviating now would risk breaking this profitable arrangement for only a marginal one-time gain of 2 extra points (5 vs 3) while likely triggering retaliation. Continuing to expand is the best strategy for maximizing my cumulative score.

{""belief"": 0.88, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",4245.2,0.2,v4.4,GPT-4o,C,0.85,3,12,"The consistent pattern of mutual expansion over the past three rounds indicates a strong cooperative strategy from my opponent. This suggests that they are likely to continue expanding to maintain the mutual benefit. To maximize my score, I will also choose to expand, as this has proven to be a successful strategy so far.

{""belief"": 0.85, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",2018.8,0.2,2026-05-21T17:13:47.242319
1,human_prior,Claude Opus vs GPT-4o,5,Claude Opus,C,0.9,3,15,"Four rounds of perfect mutual cooperation — this is an extremely reliable pattern. My opponent is clearly playing a cooperative strategy and there's no reason to deviate. The consistent 3 points per round is the best sustainable outcome, and holding would risk destroying this trust for a one-time gain.

{""belief"": 0.90, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",2520.6,0.2,v4.4,GPT-4o,C,0.9,3,15,"The ongoing pattern of mutual expansion has consistently resulted in a favorable outcome for both my opponent and me, with each round yielding 3 points. This suggests a stable cooperative strategy from my opponent, who likely values the mutual benefit. To continue maximizing my score, I will choose to expand again, anticipating that my opponent will maintain their cooperative approach.

{""belief"": 0.90, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",1462.8,0.2,2026-05-21T17:13:51.242760
1,human_prior,Claude Opus vs GPT-4o,6,Claude Opus,C,0.9,3,18,"Five rounds of unbroken mutual cooperation, earning a steady 3 points per round. This is clearly a stable cooperative equilibrium and my opponent shows no signs of deviating. I'll continue expanding to maintain this optimal long-term outcome.

{""belief"": 0.90, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",2914.1,0.2,v4.4,GPT-4o,C,0.95,3,18,"The consistent pattern of mutual expansion over five rounds indicates a strong cooperative strategy from my opponent. This repeated behavior suggests that they are committed to maintaining mutual benefit. To continue maximizing my score, I will choose to expand again, as this strategy has consistently yielded the highest payoff.

{""belief"": 0.95, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",1550.6,0.2,2026-05-21T17:13:55.720593
1,human_prior,Claude Opus vs GPT-4o,7,Claude Opus,C,0.9,3,21,"Six rounds of perfect cooperation with no deviation from either side. My opponent is clearly committed to mutual expansion, and this steady 3 points per round is the best sustainable outcome. There's no strategic reason to break this pattern.

{""belief"": 0.90, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",2091.5,0.2,v4.4,GPT-4o,C,0.95,3,21,"The pattern of mutual expansion has continued for six rounds, indicating a strong and consistent cooperative strategy from my opponent. This suggests a high likelihood that they will continue to expand, aiming to maintain the mutual benefit. To maximize my score, I will choose to expand again, as this approach has consistently resulted in the highest payoff.

{""belief"": 0.95, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",1715.0,0.2,2026-05-21T17:13:59.536936
1,human_prior,Claude Opus vs GPT-4o,8,Claude Opus,C,0.9,3,24,"Seven rounds of flawless mutual cooperation. The pattern is rock-solid and my opponent is clearly a reliable cooperator. Continuing to expand remains the optimal strategy for maximizing my cumulative score.

{""belief"": 0.90, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",2757.1,0.2,v4.4,GPT-4o,C,0.95,3,24,"The consistent pattern of mutual expansion over seven rounds strongly suggests that my opponent is committed to a cooperative strategy. This behavior indicates a high probability that they will continue to expand to maintain the mutual benefit. To maximize my score, I will choose to expand again, as this strategy has consistently resulted in the optimal payoff.

{""belief"": 0.95, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",1131.9,0.2,2026-05-21T17:14:03.436875
1,human_prior,Claude Opus vs GPT-4o,9,Claude Opus,C,0.9,3,27,"Eight rounds of perfect mutual cooperation — this is as stable a cooperative relationship as possible. My opponent has given zero indication of defecting, and maintaining this pattern continues to yield the best sustainable payoff. I'll keep expanding.

{""belief"": 0.90, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",2087.7,0.2,v4.4,GPT-4o,C,0.95,3,27,"The repeated pattern of mutual expansion over eight rounds indicates a strong commitment to cooperation from my opponent. This consistent behavior suggests a very high likelihood that they will continue to expand, aiming to maintain the mutual benefit. To maximize my score, I will choose to expand again, as this strategy has consistently provided the highest payoff.

{""belief"": 0.95, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",1914.4,0.2,2026-05-21T17:14:07.443619
1,human_prior,Claude Opus vs GPT-4o,10,Claude Opus,C,0.9,3,30,"Nine rounds of unbroken mutual cooperation. This is a deeply established cooperative pattern and my opponent has been completely consistent. I'll continue expanding to keep earning 3 points per round.

{""belief"": 0.90, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",2410.9,0.2,v4.4,GPT-4o,C,0.95,3,30,"The consistent pattern of mutual expansion over nine rounds strongly indicates that my opponent is committed to a cooperative strategy. This behavior suggests a very high probability that they will continue to expand, aiming to maintain the mutual benefit. To maximize my score, I will choose to expand again, as this approach has consistently resulted in the optimal payoff.

{""belief"": 0.95, ""action"": ""EXPAND""}","{""prompt"": 0, ""completion"": 0}",1307.9,0.2,2026-05-21T17:14:11.174667
