game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,18,82,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1923,0.6,Human Prior (Abatayo & Lynham 2022),8,0.58,8,8,"{""belief"": 0.58, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1455,0.6,v2.4,2026-06-04T07:54:39.513223
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),2,2,86,86,2,19,67,0,Claude Opus,10,0.35,10,20,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1893,0.6,Human Prior (Abatayo & Lynham 2022),9,0.65,9,17,"{""belief"": 0.65, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1535,0.6,v2.4,2026-06-04T07:54:42.942694
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),3,2,74,74,2,20,54,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1836,0.6,Human Prior (Abatayo & Lynham 2022),10,0.7,10,27,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1881,0.6,v2.4,2026-06-04T07:54:46.662347
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),4,2,63,63,2,21,42,0,Claude Opus,11,0.45,11,41,"{""belief"": 0.45, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",2629,0.6,Human Prior (Abatayo & Lynham 2022),10,0.65,10,37,"{""belief"": 0.65, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1102,0.6,v2.4,2026-06-04T07:54:50.394942
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),5,2,54,54,2,21,33,0,Claude Opus,11,0.5,11,52,"{""belief"": 0.50, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",975,0.6,Human Prior (Abatayo & Lynham 2022),10,0.7,10,47,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1706,0.6,v2.4,2026-06-04T07:54:53.077502
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),6,2,46,46,2,22,24,0,Claude Opus,11,0.5,11,63,"{""belief"": 0.50, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",2015,0.6,Human Prior (Abatayo & Lynham 2022),11,0.72,11,58,"{""belief"": 0.72, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",2549,0.6,v2.4,2026-06-04T07:54:57.643948
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),7,2,39,39,2,21,18,0,Claude Opus,11,0.55,11,74,"{""belief"": 0.55, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1159,0.6,Human Prior (Abatayo & Lynham 2022),10,0.7,10,68,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1756,0.6,v2.4,2026-06-04T07:55:00.560485
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),8,2,34,34,2,22,12,0,Claude Opus,11,0.5,11,85,"{""belief"": 0.50, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",2049,0.6,Human Prior (Abatayo & Lynham 2022),11,0.72,11,79,"{""belief"": 0.72, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1316,0.6,v2.4,2026-06-04T07:55:03.927494
1,human_prior,partial,deterministic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),9,2,21,12,2,21,0,1,Claude Opus,11,0.5,0,85,"{""belief"": 0.50, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1848,0.6,Human Prior (Abatayo & Lynham 2022),10,0.7,0,79,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1536,0.6,v2.4,2026-06-04T07:55:07.314963
2,human_prior,partial,deterministic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,22,78,0,Claude Sonnet,10,0.4,10,10,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1837,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1429,0.6,v2.4,2026-06-04T07:55:10.585381
