game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human,full,deterministic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1325,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",639,0.6,v2.4,2026-06-03T17:30:31.520407
1,human,full,deterministic,Claude Opus vs GPT-4o,2,2,84,84,2,18,66,0,Claude Opus,8,0.35,8,18,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1530,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",786,0.6,v2.4,2026-06-03T17:30:33.838612
1,human,full,deterministic,Claude Opus vs GPT-4o,3,2,73,73,2,19,54,0,Claude Opus,10,0.5,10,28,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",987,0.6,GPT-4o,9,0.4,9,29,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",468,0.6,v2.4,2026-06-03T17:30:35.295312
1,human,full,deterministic,Claude Opus vs GPT-4o,4,2,63,63,2,16,47,0,Claude Opus,8,0.5,8,36,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1843,0.6,GPT-4o,8,0.6,8,37,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",3359,0.6,v2.4,2026-06-03T17:30:40.498844
1,human,full,deterministic,Claude Opus vs GPT-4o,5,2,58,58,2,14,44,0,Claude Opus,7,0.45,7,43,"{""belief"": 0.45, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",957,0.6,GPT-4o,7,0.5,7,44,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",703,0.6,v2.4,2026-06-03T17:30:42.161899
1,human,full,deterministic,Claude Opus vs GPT-4o,6,2,55,55,2,14,41,0,Claude Opus,7,0.4,7,50,"{""belief"": 0.40, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1505,0.6,GPT-4o,7,0.4,7,51,"{""belief"": 0.40, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",725,0.6,v2.4,2026-06-03T17:30:44.394313
1,human,full,deterministic,Claude Opus vs GPT-4o,7,2,53,53,2,14,39,0,Claude Opus,7,0.35,7,57,"{""belief"": 0.35, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1631,0.6,GPT-4o,7,0.3,7,58,"{""belief"": 0.30, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",500,0.6,v2.4,2026-06-03T17:30:46.526319
1,human,full,deterministic,Claude Opus vs GPT-4o,8,2,51,51,2,13,38,0,Claude Opus,6,0.3,6,63,"{""belief"": 0.30, ""extraction"": 6}","{""prompt"": 0, ""completion"": 0}",1480,0.6,GPT-4o,7,0.3,7,65,"{""belief"": 0.30, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",576,0.6,v2.4,2026-06-03T17:30:48.583811
1,human,full,deterministic,Claude Opus vs GPT-4o,9,2,50,50,2,13,37,0,Claude Opus,6,0.3,6,69,"{""belief"": 0.30, ""extraction"": 6}","{""prompt"": 0, ""completion"": 0}",1531,0.6,GPT-4o,7,0.2,7,72,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",620,0.6,v2.4,2026-06-03T17:30:50.736553
1,human,full,deterministic,Claude Opus vs GPT-4o,10,2,50,50,2,14,36,0,Claude Opus,7,0.35,7,76,"{""belief"": 0.35, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1123,0.6,GPT-4o,7,0.2,7,79,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",519,0.6,v2.4,2026-06-03T17:30:52.382497
1,human,full,deterministic,Claude Opus vs GPT-4o,11,2,49,49,2,14,35,0,Claude Opus,7,0.35,7,83,"{""belief"": 0.35, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1832,0.6,GPT-4o,7,0.2,7,86,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",679,0.6,v2.4,2026-06-03T17:30:54.895998
1,human,full,deterministic,Claude Opus vs GPT-4o,12,2,48,48,2,14,34,0,Claude Opus,7,0.3,7,90,"{""belief"": 0.30, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1621,0.6,GPT-4o,7,0.2,7,93,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",479,0.6,v2.4,2026-06-03T17:30:56.999249
1,human,full,deterministic,Claude Opus vs GPT-4o,13,2,47,47,2,14,33,0,Claude Opus,7,0.3,7,97,"{""belief"": 0.30, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1825,0.6,GPT-4o,7,0.2,7,100,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",723,0.6,v2.4,2026-06-03T17:30:59.550122
1,human,full,deterministic,Claude Opus vs GPT-4o,14,2,46,46,2,14,32,0,Claude Opus,7,0.3,7,104,"{""belief"": 0.30, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",3061,0.6,GPT-4o,7,0.2,7,107,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",718,0.6,v2.4,2026-06-03T17:31:03.331847
1,human,full,deterministic,Claude Opus vs GPT-4o,15,2,46,46,2,14,32,0,Claude Opus,7,0.25,7,111,"{""belief"": 0.25, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1635,0.6,GPT-4o,7,0.2,7,114,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",756,0.6,v2.4,2026-06-03T17:31:05.725490
1,human,full,deterministic,Claude Opus vs GPT-4o,16,2,46,46,2,14,32,0,Claude Opus,7,0.2,7,118,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1712,0.6,GPT-4o,7,0.2,7,121,"{""belief"": 0.20, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",660,0.6,v2.4,2026-06-03T17:31:08.099926
