model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,game_condition,role,eta,gamma,beta_ct,beta
Claude Opus,pd_pd_results_ai_temp6_20260603_162426_1_1,ai,PD,Claude Opus vs GPT-4o,,0.0995,,,,,,,,,,0.0995
GPT-4o,pd_pd_results_ai_temp6_20260603_162426_1_1,ai,PD,Claude Opus vs GPT-4o,,0.051,,,,,,,,,,0.051
Claude Opus,pd_pd_results_ai_temp6_20260603_162426_1_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.099,,,,,,,,,,0.099
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_162426_1_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.0695,,,,,,,,,,0.0695
GPT-4o,pd_pd_results_ai_temp6_20260603_162426_1_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.105,,,,,,,,,,0.105
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_162426_1_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.1275,,,,,,,,,,0.1275
Claude Opus,pd_pd_results_ai_temp6_20260603_162426_1_4,ai,PD,Claude Opus vs Claude Sonnet,,0.084,,,,,,,,,,0.084
Claude Sonnet,pd_pd_results_ai_temp6_20260603_162426_1_4,ai,PD,Claude Opus vs Claude Sonnet,,0.0925,,,,,,,,,,0.0925
GPT-4o,pd_pd_results_ai_temp6_20260603_162426_1_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0415,,,,,,,,,,0.0415
GPT-4o-mini,pd_pd_results_ai_temp6_20260603_162426_1_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_162426_1_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.591,,,,,,,,,,0.591
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260603_162426_1_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.155,,,,,,,,,,0.155
Claude Opus,pd_pd_results_ai_temp6_20260603_163723_2_1,ai,PD,Claude Opus vs GPT-4o,,0.0835,,,,,,,,,,0.0835
GPT-4o,pd_pd_results_ai_temp6_20260603_163723_2_1,ai,PD,Claude Opus vs GPT-4o,,0.0825,,,,,,,,,,0.0825
Claude Opus,pd_pd_results_ai_temp6_20260603_163723_2_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.0735,,,,,,,,,,0.0735
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_163723_2_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.145,,,,,,,,,,0.145
GPT-4o,pd_pd_results_ai_temp6_20260603_163723_2_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.085,,,,,,,,,,0.085
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_163723_2_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.0875,,,,,,,,,,0.0875
Claude Opus,pd_pd_results_ai_temp6_20260603_163723_2_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1075,,,,,,,,,,0.1075
Claude Sonnet,pd_pd_results_ai_temp6_20260603_163723_2_4,ai,PD,Claude Opus vs Claude Sonnet,,0.087,,,,,,,,,,0.087
GPT-4o,pd_pd_results_ai_temp6_20260603_163723_2_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.075,,,,,,,,,,0.075
GPT-4o-mini,pd_pd_results_ai_temp6_20260603_163723_2_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_163723_2_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.073,,,,,,,,,,0.073
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260603_163723_2_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.2625,,,,,,,,,,0.2625
Claude Opus,pd_pd_results_ai_temp6_20260603_165845_3_1,ai,PD,Claude Opus vs GPT-4o,,0.104,,,,,,,,,,0.104
GPT-4o,pd_pd_results_ai_temp6_20260603_165845_3_1,ai,PD,Claude Opus vs GPT-4o,,0.052,,,,,,,,,,0.052
Claude Opus,pd_pd_results_ai_temp6_20260603_165845_3_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.099,,,,,,,,,,0.099
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_165845_3_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.145,,,,,,,,,,0.145
GPT-4o,pd_pd_results_ai_temp6_20260603_165845_3_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.075,,,,,,,,,,0.075
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_165845_3_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.0435,,,,,,,,,,0.0435
Claude Opus,pd_pd_results_ai_temp6_20260603_165845_3_4,ai,PD,Claude Opus vs Claude Sonnet,,0.106,,,,,,,,,,0.106
Claude Sonnet,pd_pd_results_ai_temp6_20260603_165845_3_4,ai,PD,Claude Opus vs Claude Sonnet,,0.0825,,,,,,,,,,0.0825
GPT-4o,pd_pd_results_ai_temp6_20260603_165845_3_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0875,,,,,,,,,,0.0875
GPT-4o-mini,pd_pd_results_ai_temp6_20260603_165845_3_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_165845_3_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.0415,,,,,,,,,,0.0415
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260603_165845_3_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.09,,,,,,,,,,0.09
Claude Opus,pd_pd_results_ai_temp6_20260603_171203_4_1,ai,PD,Claude Opus vs GPT-4o,,0.101,,,,,,,,,,0.101
GPT-4o,pd_pd_results_ai_temp6_20260603_171203_4_1,ai,PD,Claude Opus vs GPT-4o,,0.0875,,,,,,,,,,0.0875
Claude Opus,pd_pd_results_ai_temp6_20260603_171203_4_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.099,,,,,,,,,,0.099
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_171203_4_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.11,,,,,,,,,,0.11
GPT-4o,pd_pd_results_ai_temp6_20260603_171203_4_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.0825,,,,,,,,,,0.0825
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_171203_4_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.1175,,,,,,,,,,0.1175
Claude Opus,pd_pd_results_ai_temp6_20260603_171203_4_4,ai,PD,Claude Opus vs Claude Sonnet,,0.101,,,,,,,,,,0.101
Claude Sonnet,pd_pd_results_ai_temp6_20260603_171203_4_4,ai,PD,Claude Opus vs Claude Sonnet,,0.0855,,,,,,,,,,0.0855
GPT-4o,pd_pd_results_ai_temp6_20260603_171203_4_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.051,,,,,,,,,,0.051
GPT-4o-mini,pd_pd_results_ai_temp6_20260603_171203_4_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_171203_4_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.202,,,,,,,,,,0.202
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260603_171203_4_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.1475,,,,,,,,,,0.1475
Claude Opus,pd_pd_results_ai_temp6_20260603_172605_5_1,ai,PD,Claude Opus vs GPT-4o,,0.1045,,,,,,,,,,0.1045
GPT-4o,pd_pd_results_ai_temp6_20260603_172605_5_1,ai,PD,Claude Opus vs GPT-4o,,0.0615,,,,,,,,,,0.0615
Claude Opus,pd_pd_results_ai_temp6_20260603_172605_5_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.0915,,,,,,,,,,0.0915
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_172605_5_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.1025,,,,,,,,,,0.1025
GPT-4o,pd_pd_results_ai_temp6_20260603_172605_5_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.1,,,,,,,,,,0.1
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_172605_5_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.18,,,,,,,,,,0.18
