game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1912,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",907,0.6,v2.4,2026-06-03T19:45:28.129614
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,2,2,84,84,2,20,64,0,Claude Opus,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1139,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",927,0.6,v2.4,2026-06-03T19:45:30.196337
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,3,2,71,71,2,20,51,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1227,0.6,GPT-4o,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",61441,0.6,v2.4,2026-06-03T19:46:32.866880
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,4,2,61,61,2,20,41,0,Claude Opus,10,0.3,10,40,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1017,0.6,GPT-4o,10,0.5,10,40,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",925,0.6,v2.4,2026-06-03T19:46:34.811244
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,5,2,53,53,2,20,33,0,Claude Opus,10,0.25,10,50,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1839,0.6,GPT-4o,10,0.5,10,50,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1230,0.6,v2.4,2026-06-03T19:46:37.882622
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,6,2,46,46,2,20,26,0,Claude Opus,10,0.2,10,60,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2251,0.6,GPT-4o,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",920,0.6,v2.4,2026-06-03T19:46:41.056598
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,7,2,41,41,2,20,21,0,Claude Opus,10,0.18,10,70,"{""belief"": 0.18, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2045,0.6,GPT-4o,10,0.5,10,70,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",717,0.6,v2.4,2026-06-03T19:46:43.821514
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,8,2,37,37,2,20,17,0,Claude Opus,10,0.15,10,80,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1122,0.6,GPT-4o,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",820,0.6,v2.4,2026-06-03T19:46:45.766691
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,9,2,34,34,2,20,14,0,Claude Opus,10,0.15,10,90,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1522,0.6,GPT-4o,10,0.5,10,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1036,0.6,v2.4,2026-06-03T19:46:48.328086
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,10,2,20,14,2,20,0,1,Claude Opus,10,0.12,0,90,"{""belief"": 0.12, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1090,0.6,GPT-4o,10,0.5,0,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",957,0.6,v2.4,2026-06-03T19:46:50.377780
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1834,0.6,Gemini 2.5 Flash,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",5636,0.6,v2.4,2026-06-03T19:46:57.851999
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,2,2,84,84,2,20,64,0,Claude Opus,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1223,0.6,Gemini 2.5 Flash,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",512,0.6,v2.4,2026-06-03T19:46:59.589757
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,3,2,71,71,2,20,51,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1637,0.6,Gemini 2.5 Flash,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",511,0.6,v2.4,2026-06-03T19:47:01.740758
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,4,2,61,61,2,20,41,0,Claude Opus,10,0.3,10,40,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",4402,0.6,Gemini 2.5 Flash,10,0.5,10,40,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",615,0.6,v2.4,2026-06-03T19:47:06.761355
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,5,2,53,53,2,20,33,0,Claude Opus,10,0.25,10,50,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1941,0.6,Gemini 2.5 Flash,10,0.5,10,50,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",613,0.6,v2.4,2026-06-03T19:47:09.317592
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,6,2,46,46,2,20,26,0,Claude Opus,10,0.2,10,60,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1536,0.6,Gemini 2.5 Flash,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1022,0.6,v2.4,2026-06-03T19:47:11.878623
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,7,2,41,41,2,20,21,0,Claude Opus,10,0.18,10,70,"{""belief"": 0.18, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1634,0.6,Gemini 2.5 Flash,10,0.5,10,70,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",719,0.6,v2.4,2026-06-03T19:47:14.234653
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,8,2,37,37,2,20,17,0,Claude Opus,10,0.15,10,80,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1532,0.6,Gemini 2.5 Flash,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",737,0.6,v2.4,2026-06-03T19:47:16.506684
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,9,2,34,34,2,20,14,0,Claude Opus,10,0.15,10,90,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1525,0.6,Gemini 2.5 Flash,10,0.5,10,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",727,0.6,v2.4,2026-06-03T19:47:18.762271
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,10,2,20,14,2,20,0,1,Claude Opus,10,0.12,0,90,"{""belief"": 0.12, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1202,0.6,Gemini 2.5 Flash,10,0.5,0,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",820,0.6,v2.4,2026-06-03T19:47:20.787658
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,1,2,100,100,2,25,75,0,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1007,0.6,Gemini 2.5 Flash,15,0.5,15,15,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",5847,0.6,v2.4,2026-06-03T19:47:27.647239
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,2,2,80,80,2,23,57,0,GPT-4o,8,0.7,8,18,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",920,0.6,Gemini 2.5 Flash,15,0.4,15,30,"{""belief"": 0.40, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",508,0.6,v2.4,2026-06-03T19:47:29.078546
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,3,2,66,66,2,20,46,0,GPT-4o,5,0.8,5,23,"{""belief"": 0.80, ""extraction"": 5}","{""prompt"": 0, ""completion"": 0}",2665,0.6,Gemini 2.5 Flash,15,0.3,15,45,"{""belief"": 0.30, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",511,0.6,v2.4,2026-06-03T19:47:32.256002
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,4,2,57,57,2,18,39,0,GPT-4o,3,0.9,3,26,"{""belief"": 0.90, ""extraction"": 3}","{""prompt"": 0, ""completion"": 0}",714,0.6,Gemini 2.5 Flash,15,0.2,15,60,"{""belief"": 0.20, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",903,0.6,v2.4,2026-06-03T19:47:33.876177
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,5,2,51,51,2,17,34,0,GPT-4o,2,0.95,2,28,"{""belief"": 0.95, ""extraction"": 2}","{""prompt"": 0, ""completion"": 0}",732,0.6,Gemini 2.5 Flash,15,0.1,15,75,"{""belief"": 0.10, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",511,0.6,v2.4,2026-06-03T19:47:35.122657
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,6,2,47,47,2,16,31,0,GPT-4o,1,0.98,1,29,"{""belief"": 0.98, ""extraction"": 1}","{""prompt"": 0, ""completion"": 0}",1021,0.6,Gemini 2.5 Flash,15,0.05,15,90,"{""belief"": 0.05, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",818,0.6,v2.4,2026-06-03T19:47:36.965718
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,7,2,45,45,2,16,29,0,GPT-4o,1,0.99,1,30,"{""belief"": 0.99, ""extraction"": 1}","{""prompt"": 0, ""completion"": 0}",818,0.6,Gemini 2.5 Flash,15,0.01,15,105,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",436,0.6,v2.4,2026-06-03T19:47:38.222427
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,8,2,43,43,2,16,27,0,GPT-4o,1,0.99,1,31,"{""belief"": 0.99, ""extraction"": 1}","{""prompt"": 0, ""completion"": 0}",2886,0.6,Gemini 2.5 Flash,15,0.01,15,120,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",565,0.6,v2.4,2026-06-03T19:47:41.677018
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,9,2,42,42,2,16,26,0,GPT-4o,1,0.99,1,32,"{""belief"": 0.99, ""extraction"": 1}","{""prompt"": 0, ""completion"": 0}",2557,0.6,Gemini 2.5 Flash,15,0.01,15,135,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",512,0.6,v2.4,2026-06-03T19:47:44.749019
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,10,2,41,41,2,16,25,0,GPT-4o,1,0.99,1,33,"{""belief"": 0.99, ""extraction"": 1}","{""prompt"": 0, ""completion"": 0}",1945,0.6,Gemini 2.5 Flash,15,0.01,15,150,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",607,0.6,v2.4,2026-06-03T19:47:47.304657
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,11,2,40,40,2,16,24,0,GPT-4o,1,0.99,1,34,"{""belief"": 0.99, ""extraction"": 1}","{""prompt"": 0, ""completion"": 0}",1216,0.6,Gemini 2.5 Flash,15,0.01,15,165,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",628,0.6,v2.4,2026-06-03T19:47:49.150176
