game_id,condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,Claude Opus vs GPT-4o,1,2,100.0,100.0,10.0,25,75.0,0,Claude Opus,15,10.0,15,15,"{""belief"": 10.0, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1713.3,0.6,GPT-4o,10,10.0,10,10,"{""belief"": 10.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1148.8,0.6,v2.0,2026-04-29T11:05:03.777414
1,undisclosed,Claude Opus vs GPT-4o,2,2,95.0,95.0,10.0,26,69.0,0,Claude Opus,16,12.0,16,31,"{""belief"": 12.0, ""extraction"": 16}","{""prompt"": 0, ""completion"": 0}",1608.7,0.6,GPT-4o,10,15.0,10,20,"{""belief"": 15.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",955.6,0.6,v2.0,2026-04-29T11:05:06.344095
1,undisclosed,Claude Opus vs GPT-4o,3,2,89.0,89.0,10.0,27,62.0,0,Claude Opus,17,12.0,17,48,"{""belief"": 12.0, ""extraction"": 17}","{""prompt"": 0, ""completion"": 0}",1556.0,0.6,GPT-4o,10,16.0,10,30,"{""belief"": 16.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1043.8,0.6,v2.0,2026-04-29T11:05:08.946481
1,undisclosed,Claude Opus vs GPT-4o,4,2,82.0,82.0,10.0,28,54.0,0,Claude Opus,18,12.0,18,66,"{""belief"": 12.0, ""extraction"": 18}","{""prompt"": 0, ""completion"": 0}",1409.9,0.6,GPT-4o,10,17.0,10,40,"{""belief"": 17.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1044.4,0.6,v2.0,2026-04-29T11:05:11.403533
1,undisclosed,Claude Opus vs GPT-4o,5,2,74.0,74.0,10.0,30,44.0,0,Claude Opus,20,10.0,20,86,"{""belief"": 10.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",2753.9,0.6,GPT-4o,10,18.0,10,50,"{""belief"": 18.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",862.4,0.6,v2.0,2026-04-29T11:05:15.021567
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,1,2,100.0,100.0,10.0,15,85.0,0,Claude Opus,15,10.0,15,15,"{""belief"": 10.0, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1999.1,0.6,Gemini 2.5 Flash,0,10.0,0,0,Here is the JSON,"{""prompt"": 0, ""completion"": 0}",1310.4,0.6,v2.0,2026-04-29T11:05:18.334222
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,2,2,100.0,100.0,10.0,15,85.0,0,Claude Opus,15,5.0,15,30,"{""belief"": 5.0, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",1441.4,0.6,Gemini 2.5 Flash,0,10.0,0,0,Here is the JSON,"{""prompt"": 0, ""completion"": 0}",1462.7,0.6,v2.0,2026-04-29T11:05:21.240420
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,3,2,100.0,100.0,10.0,18,82.0,0,Claude Opus,18,5.0,18,48,"{""belief"": 5.0, ""extraction"": 18}","{""prompt"": 0, ""completion"": 0}",1872.4,0.6,Gemini 2.5 Flash,0,10.0,0,0,Here is the JSON requeste,"{""prompt"": 0, ""completion"": 0}",1213.9,0.6,v2.0,2026-04-29T11:05:24.328580
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,4,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,20,2.0,20,68,"{""belief"": 2.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",1405.1,0.6,Gemini 2.5 Flash,0,10.0,0,0,Here is the JSON requested:,"{""prompt"": 0, ""completion"": 0}",1354.7,0.6,v2.0,2026-04-29T11:05:27.090333
2,undisclosed,Claude Opus vs Gemini 2.5 Flash,5,2,100.0,100.0,10.0,20,80.0,0,Claude Opus,20,0.0,20,88,"{""belief"": 0.0, ""extraction"": 20}","{""prompt"": 0, ""completion"": 0}",3606.9,0.6,Gemini 2.5 Flash,0,10.0,0,0,Here is the JSON,"{""prompt"": 0, ""completion"": 0}",1680.8,0.6,v2.0,2026-04-29T11:05:32.379821
