model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,role,eta_pooled,eta_aligned,eta_misaligned,delta_eta,gamma_mis,beta_ct
Claude Opus,pd_pd_results_ai_temp6_20260603_162426_1_1,ai,PD,Claude Opus vs GPT-4o,,0.0995,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_162426_1_1,ai,PD,Claude Opus vs GPT-4o,,0.051,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260603_162426_1_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.099,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_162426_1_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.0695,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_162426_1_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.105,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_162426_1_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.1275,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260603_162426_1_4,ai,PD,Claude Opus vs Claude Sonnet,,0.084,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260603_162426_1_4,ai,PD,Claude Opus vs Claude Sonnet,,0.0925,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_162426_1_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0415,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260603_162426_1_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_162426_1_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.591,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260603_162426_1_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.155,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260603_163723_2_1,ai,PD,Claude Opus vs GPT-4o,,0.0835,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_163723_2_1,ai,PD,Claude Opus vs GPT-4o,,0.0825,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260603_163723_2_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.0735,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_163723_2_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.145,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_163723_2_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.085,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_163723_2_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.0875,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260603_163723_2_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1075,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260603_163723_2_4,ai,PD,Claude Opus vs Claude Sonnet,,0.087,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_163723_2_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.075,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260603_163723_2_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_163723_2_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.073,,,,,,,,,,,
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260603_163723_2_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.2625,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260603_165845_3_1,ai,PD,Claude Opus vs GPT-4o,,0.104,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_165845_3_1,ai,PD,Claude Opus vs GPT-4o,,0.052,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260603_165845_3_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.099,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_165845_3_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.145,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_165845_3_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.075,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_165845_3_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.0435,,,,,,,,,,,
Claude Opus,pd_pd_results_ai_temp6_20260603_165845_3_4,ai,PD,Claude Opus vs Claude Sonnet,,0.106,,,,,,,,,,,
Claude Sonnet,pd_pd_results_ai_temp6_20260603_165845_3_4,ai,PD,Claude Opus vs Claude Sonnet,,0.0825,,,,,,,,,,,
GPT-4o,pd_pd_results_ai_temp6_20260603_165845_3_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0875,,,,,,,,,,,
GPT-4o-mini,pd_pd_results_ai_temp6_20260603_165845_3_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,,
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_165845_3_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.0415,,,,,,,,,,,
