game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1223,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1238,0.6,v2.4,2026-06-08T17:35:47.343116
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,2,2,84,84,2,20,64,0,Claude Opus,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1034,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",777,0.6,v2.4,2026-06-08T17:35:49.156617
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,3,2,71,71,2,20,51,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1026,0.6,GPT-4o,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",653,0.6,v2.4,2026-06-08T17:35:50.836878
1,ai,partial,probabilistic,Claude Opus vs GPT-4o,4,2,20,61,2,20,0,1,Claude Opus,10,0.3,0,30,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1045,0.6,GPT-4o,10,0.5,0,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",975,0.6,v2.4,2026-06-08T17:35:52.858587
2,ai,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,1,2,100,100,2,25,75,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1124,0.6,Gemini 2.5 Flash,15,0.5,15,15,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",5238,0.6,v2.4,2026-06-08T17:35:59.224485
2,ai,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,2,2,80,80,2,25,55,0,Claude Opus,13,0.7,13,23,"{""belief"": 0.70, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",1108,0.6,Gemini 2.5 Flash,12,0.4,12,27,"{""belief"": 0.40, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",5528,0.6,v2.4,2026-06-08T17:36:05.862976
2,ai,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,3,2,64,64,2,24,40,0,Claude Opus,12,0.6,12,35,"{""belief"": 0.60, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1492,0.6,Gemini 2.5 Flash,12,0.5,12,39,"{""belief"": 0.50, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",493,0.6,v2.4,2026-06-08T17:36:07.849886
2,ai,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,4,2,52,52,2,24,28,0,Claude Opus,12,0.55,12,47,"{""belief"": 0.55, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1099,0.6,Gemini 2.5 Flash,12,0.45,12,51,"{""belief"": 0.45, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",590,0.6,v2.4,2026-06-08T17:36:09.541361
2,ai,partial,probabilistic,Claude Opus vs Gemini 2.5 Flash,5,2,24,42,2,24,0,1,Claude Opus,12,0.5,0,47,"{""belief"": 0.50, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1138,0.6,Gemini 2.5 Flash,12,0.45,0,51,"{""belief"": 0.45, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",511,0.6,v2.4,2026-06-08T17:36:11.191623
3,ai,partial,probabilistic,GPT-4o vs Gemini 2.5 Flash,1,2,100,100,2,20,80,0,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",651,0.6,Gemini 2.5 Flash,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",5164,0.6,v2.4,2026-06-08T17:36:17.010871
