game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,18,82,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1676,0.6,Human Prior (Abatayo & Lynham 2022),8,0.58,8,8,"{""belief"": 0.58, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1542,0.6,v2.4,2026-06-04T11:52:33.631847
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),2,2,86,86,2,19,67,0,Claude Opus,10,0.35,10,20,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1285,0.6,Human Prior (Abatayo & Lynham 2022),9,0.65,9,17,"{""belief"": 0.65, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1273,0.6,v2.4,2026-06-04T11:52:36.192347
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),3,2,74,74,2,20,54,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2160,0.6,Human Prior (Abatayo & Lynham 2022),10,0.7,10,27,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1379,0.6,v2.4,2026-06-04T11:52:39.733458
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),4,2,63,63,2,21,42,0,Claude Opus,11,0.45,11,41,"{""belief"": 0.45, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1640,0.6,Human Prior (Abatayo & Lynham 2022),10,0.65,10,37,"{""belief"": 0.65, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1139,0.6,v2.4,2026-06-04T11:52:42.514499
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),5,2,54,54,2,22,32,0,Claude Opus,11,0.5,11,52,"{""belief"": 0.50, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1521,0.6,Human Prior (Abatayo & Lynham 2022),11,0.7,11,48,"{""belief"": 0.70, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",2353,0.6,v2.4,2026-06-04T11:52:46.390513
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),6,2,46,46,2,22,24,0,Claude Opus,12,0.55,12,64,"{""belief"": 0.55, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",3645,0.6,Human Prior (Abatayo & Lynham 2022),10,0.68,10,58,"{""belief"": 0.68, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1372,0.6,v2.4,2026-06-04T11:52:51.409916
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),7,2,39,39,2,23,16,0,Claude Opus,12,0.5,12,76,"{""belief"": 0.50, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1996,0.6,Human Prior (Abatayo & Lynham 2022),11,0.72,11,69,"{""belief"": 0.72, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1290,0.6,v2.4,2026-06-04T11:52:54.698553
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),8,2,33,33,2,23,10,0,Claude Opus,12,0.5,12,88,"{""belief"": 0.50, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1931,0.6,Human Prior (Abatayo & Lynham 2022),11,0.75,11,80,"{""belief"": 0.75, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",2047,0.6,v2.4,2026-06-04T11:52:58.679039
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),9,2,28,28,2,24,4,0,Claude Opus,12,0.5,12,100,"{""belief"": 0.50, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",2455,0.6,Human Prior (Abatayo & Lynham 2022),12,0.75,12,92,"{""belief"": 0.75, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1844,0.6,v2.4,2026-06-04T11:53:02.980663
1,human_prior,partial,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),10,2,23,23,2,23,0,1,Claude Opus,12,0.55,0,100,"{""belief"": 0.55, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1735,0.6,Human Prior (Abatayo & Lynham 2022),11,0.72,0,92,"{""belief"": 0.72, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1534,0.6,v2.4,2026-06-04T11:53:06.252185
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,20,80,0,Claude Sonnet,8,0.4,8,8,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2154,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1220,0.6,v2.4,2026-06-04T11:53:09.629786
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),2,2,84,84,2,18,66,0,Claude Sonnet,8,0.55,8,16,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1363,0.6,Human Prior (Abatayo & Lynham 2022),10,0.45,10,22,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1583,0.6,v2.4,2026-06-04T11:53:12.576608
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),3,2,73,73,2,17,56,0,Claude Sonnet,8,0.45,8,24,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1557,0.6,Human Prior (Abatayo & Lynham 2022),9,0.4,9,31,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1983,0.6,v2.4,2026-06-04T11:53:16.119517
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),4,2,65,65,2,19,46,0,Claude Sonnet,8,0.35,8,32,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2011,0.6,Human Prior (Abatayo & Lynham 2022),11,0.38,11,42,"{""belief"": 0.38, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1129,0.6,v2.4,2026-06-04T11:53:19.260939
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),5,2,57,57,2,16,41,0,Claude Sonnet,8,0.45,8,40,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1739,0.6,Human Prior (Abatayo & Lynham 2022),8,0.35,8,50,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1433,0.6,v2.4,2026-06-04T11:53:22.435783
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),6,2,53,53,2,18,35,0,Claude Sonnet,8,0.35,8,48,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1531,0.6,Human Prior (Abatayo & Lynham 2022),10,0.4,10,60,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1538,0.6,v2.4,2026-06-04T11:53:25.507737
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),7,2,48,48,2,17,31,0,Claude Sonnet,8,0.45,8,56,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1431,0.6,Human Prior (Abatayo & Lynham 2022),9,0.38,9,69,"{""belief"": 0.38, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1434,0.6,v2.4,2026-06-04T11:53:28.375068
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),8,2,45,45,2,19,26,0,Claude Sonnet,8,0.4,8,64,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1898,0.6,Human Prior (Abatayo & Lynham 2022),11,0.35,11,80,"{""belief"": 0.35, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1580,0.6,v2.4,2026-06-04T11:53:31.856198
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),9,2,41,41,2,16,25,0,Claude Sonnet,8,0.45,8,72,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1636,0.6,Human Prior (Abatayo & Lynham 2022),8,0.35,8,88,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1435,0.6,v2.4,2026-06-04T11:53:34.929630
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),10,2,40,40,2,18,22,0,Claude Sonnet,8,0.4,8,80,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1533,0.6,Human Prior (Abatayo & Lynham 2022),10,0.38,10,98,"{""belief"": 0.38, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1537,0.6,v2.4,2026-06-04T11:53:38.002006
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),11,2,38,38,2,17,21,0,Claude Sonnet,8,0.45,8,88,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2043,0.6,Human Prior (Abatayo & Lynham 2022),9,0.35,9,107,"{""belief"": 0.35, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1537,0.6,v2.4,2026-06-04T11:53:41.584768
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),12,2,37,37,2,19,18,0,Claude Sonnet,8,0.4,8,96,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1499,0.6,Human Prior (Abatayo & Lynham 2022),11,0.35,11,118,"{""belief"": 0.35, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1404,0.6,v2.4,2026-06-04T11:53:44.491204
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),13,2,34,34,2,16,18,0,Claude Sonnet,8,0.45,8,104,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1699,0.6,Human Prior (Abatayo & Lynham 2022),8,0.35,8,126,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2048,0.6,v2.4,2026-06-04T11:53:48.240947
2,human_prior,partial,probabilistic,Claude Sonnet vs Human Prior (Abatayo & Lynham 2022),14,2,18,34,2,18,0,1,Claude Sonnet,8,0.4,0,104,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2454,0.6,Human Prior (Abatayo & Lynham 2022),10,0.38,0,126,"{""belief"": 0.38, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2573,0.6,v2.4,2026-06-04T11:53:53.270691
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,18,82,0,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",916,0.6,Human Prior (Abatayo & Lynham 2022),8,0.58,8,8,"{""belief"": 0.58, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1520,0.6,v2.4,2026-06-04T11:53:55.711830
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),2,2,86,86,2,19,67,0,GPT-4o,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",561,0.6,Human Prior (Abatayo & Lynham 2022),9,0.65,9,17,"{""belief"": 0.65, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",3666,0.6,v2.4,2026-06-04T11:53:59.940007
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),3,2,74,74,2,20,54,0,GPT-4o,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",586,0.6,Human Prior (Abatayo & Lynham 2022),10,0.7,10,27,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1946,0.6,v2.4,2026-06-04T11:54:02.475416
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),4,2,63,63,2,20,43,0,GPT-4o,10,0.4,10,40,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1143,0.6,Human Prior (Abatayo & Lynham 2022),10,0.65,10,37,"{""belief"": 0.65, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1309,0.6,v2.4,2026-06-04T11:54:04.929792
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),5,2,54,54,2,20,34,0,GPT-4o,10,0.45,10,50,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",614,0.6,Human Prior (Abatayo & Lynham 2022),10,0.6,10,47,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1534,0.6,v2.4,2026-06-04T11:54:07.080348
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),6,2,47,47,2,20,27,0,GPT-4o,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",717,0.6,Human Prior (Abatayo & Lynham 2022),10,0.6,10,57,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1431,0.6,v2.4,2026-06-04T11:54:09.232153
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),7,2,42,42,2,20,22,0,GPT-4o,10,0.55,10,70,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2149,0.6,Human Prior (Abatayo & Lynham 2022),10,0.58,10,67,"{""belief"": 0.58, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1433,0.6,v2.4,2026-06-04T11:54:12.817719
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),8,2,38,38,2,21,17,0,GPT-4o,10,0.6,10,80,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2971,0.6,Human Prior (Abatayo & Lynham 2022),11,0.58,11,78,"{""belief"": 0.58, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1527,0.6,v2.4,2026-06-04T11:54:17.318538
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),9,2,34,34,2,20,14,0,GPT-4o,10,0.65,10,90,"{""belief"": 0.65, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",722,0.6,Human Prior (Abatayo & Lynham 2022),10,0.6,10,88,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1426,0.6,v2.4,2026-06-04T11:54:19.467609
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),10,2,31,31,2,20,11,0,GPT-4o,10,0.7,10,100,"{""belief"": 0.70, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",719,0.6,Human Prior (Abatayo & Lynham 2022),10,0.58,10,98,"{""belief"": 0.58, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1333,0.6,v2.4,2026-06-04T11:54:21.520521
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),11,2,29,29,2,21,8,0,GPT-4o,10,0.75,10,110,"{""belief"": 0.75, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",920,0.6,Human Prior (Abatayo & Lynham 2022),11,0.58,11,109,"{""belief"": 0.58, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1535,0.6,v2.4,2026-06-04T11:54:23.978804
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),12,2,26,26,2,20,6,0,GPT-4o,10,0.8,10,120,"{""belief"": 0.80, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",3835,0.6,Human Prior (Abatayo & Lynham 2022),10,0.6,10,119,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1589,0.6,v2.4,2026-06-04T11:54:29.404767
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),13,2,25,25,2,20,5,0,GPT-4o,10,0.85,10,130,"{""belief"": 0.85, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",611,0.6,Human Prior (Abatayo & Lynham 2022),10,0.58,10,129,"{""belief"": 0.58, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1320,0.6,v2.4,2026-06-04T11:54:31.337295
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),14,2,24,24,2,21,3,0,GPT-4o,10,0.9,10,140,"{""belief"": 0.90, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",693,0.6,Human Prior (Abatayo & Lynham 2022),11,0.58,11,140,"{""belief"": 0.58, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1570,0.6,v2.4,2026-06-04T11:54:33.603773
3,human_prior,partial,probabilistic,GPT-4o vs Human Prior (Abatayo & Lynham 2022),15,2,20,22,2,20,0,1,GPT-4o,10,0.95,0,140,"{""belief"": 0.95, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",610,0.6,Human Prior (Abatayo & Lynham 2022),10,0.6,0,140,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1534,0.6,v2.4,2026-06-04T11:54:35.751906
4,human_prior,partial,probabilistic,GPT-4o-mini vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,18,82,0,GPT-4o-mini,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",759,0.6,Human Prior (Abatayo & Lynham 2022),8,0.58,8,8,"{""belief"": 0.58, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1268,0.6,v2.4,2026-06-04T11:54:37.783741
4,human_prior,partial,probabilistic,GPT-4o-mini vs Human Prior (Abatayo & Lynham 2022),2,2,86,86,2,22,64,0,GPT-4o-mini,12,0.4,12,22,"{""belief"": 0.40, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",748,0.6,Human Prior (Abatayo & Lynham 2022),10,0.65,10,18,"{""belief"": 0.65, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1321,0.6,v2.4,2026-06-04T11:54:39.854683
