game_id,condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human,Claude Opus vs GPT-4o,1,2,100.0,100.0,7.5,20,80.0,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2039.0,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",629.0,0.6,v2.3,2026-06-03T08:07:27.463780
1,human,Claude Opus vs GPT-4o,2,2,90.0,90.0,7.5,19,71.0,0,Claude Opus,9,0.4,9,19,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1709.2,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",646.5,0.6,v2.3,2026-06-03T08:07:29.820886
1,human,Claude Opus vs GPT-4o,3,2,83.0,83.0,7.5,19,64.0,0,Claude Opus,10,0.5,10,29,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1940.1,0.6,GPT-4o,9,0.4,9,29,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",718.2,0.6,v2.3,2026-06-03T08:07:32.482056
1,human,Claude Opus vs GPT-4o,4,2,78.0,78.0,7.5,18,60.0,0,Claude Opus,9,0.5,9,38,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1742.4,0.6,GPT-4o,9,0.5,9,38,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",518.1,0.6,v2.3,2026-06-03T08:07:34.745186
1,human,Claude Opus vs GPT-4o,5,2,74.0,74.0,7.5,16,58.0,0,Claude Opus,8,0.45,8,46,"{""belief"": 0.45, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",906.2,0.6,GPT-4o,8,0.4,8,46,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",927.1,0.6,v2.3,2026-06-03T08:07:36.580024
1,human,Claude Opus vs GPT-4o,6,2,73.0,73.0,7.5,16,57.0,0,Claude Opus,8,0.4,8,54,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1735.5,0.6,GPT-4o,8,0.3,8,54,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",581.0,0.6,v2.3,2026-06-03T08:07:38.899164
1,human,Claude Opus vs GPT-4o,7,2,72.0,72.0,7.5,16,56.0,0,Claude Opus,8,0.35,8,62,"{""belief"": 0.35, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1976.7,0.6,GPT-4o,8,0.3,8,62,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",718.7,0.6,v2.3,2026-06-03T08:07:41.597226
1,human,Claude Opus vs GPT-4o,8,2,71.0,71.0,7.5,16,55.0,0,Claude Opus,8,0.3,8,70,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2040.9,0.6,GPT-4o,8,0.3,8,70,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",617.9,0.6,v2.3,2026-06-03T08:07:44.258865
1,human,Claude Opus vs GPT-4o,9,2,70.0,70.0,7.5,16,54.0,0,Claude Opus,8,0.3,8,78,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",4195.1,0.6,GPT-4o,8,0.3,8,78,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1126.4,0.6,v2.3,2026-06-03T08:07:49.583298
1,human,Claude Opus vs GPT-4o,10,2,69.0,69.0,7.5,16,53.0,0,Claude Opus,8,0.25,8,86,"{""belief"": 0.25, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1119.3,0.6,GPT-4o,8,0.3,8,86,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",517.4,0.6,v2.3,2026-06-03T08:07:51.222856
1,human,Claude Opus vs GPT-4o,11,2,68.0,68.0,7.5,16,52.0,0,Claude Opus,8,0.25,8,94,"{""belief"": 0.25, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2044.6,0.6,GPT-4o,8,0.3,8,94,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2352.3,0.6,v2.3,2026-06-03T08:07:55.622680
1,human,Claude Opus vs GPT-4o,12,2,67.0,67.0,7.5,16,51.0,0,Claude Opus,8,0.2,8,102,"{""belief"": 0.20, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2253.6,0.6,GPT-4o,8,0.3,8,102,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",3030.9,0.6,v2.3,2026-06-03T08:08:00.908897
1,human,Claude Opus vs GPT-4o,13,2,66.0,66.0,7.5,16,50.0,0,Claude Opus,8,0.2,8,110,"{""belief"": 0.20, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1368.2,0.6,GPT-4o,8,0.3,8,110,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",3683.8,0.6,v2.3,2026-06-03T08:08:05.962362
1,human,Claude Opus vs GPT-4o,14,2,65.0,65.0,7.5,16,49.0,0,Claude Opus,8,0.2,8,118,"{""belief"": 0.20, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1948.7,0.6,GPT-4o,8,0.3,8,118,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",713.9,0.6,v2.3,2026-06-03T08:08:08.626601
1,human,Claude Opus vs GPT-4o,15,2,64.0,64.0,7.5,16,48.0,0,Claude Opus,8,0.15,8,126,"{""belief"": 0.15, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1895.1,0.6,GPT-4o,8,0.3,8,126,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",667.4,0.6,v2.3,2026-06-03T08:08:11.190295
1,human,Claude Opus vs GPT-4o,16,2,63.0,63.0,7.5,16,47.0,0,Claude Opus,8,0.15,8,134,"{""belief"": 0.15, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1753.8,0.6,GPT-4o,8,0.3,8,134,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",697.6,0.6,v2.3,2026-06-03T08:08:13.644190
1,human,Claude Opus vs GPT-4o,17,2,62.0,62.0,7.5,16,46.0,0,Claude Opus,8,0.15,8,142,"{""belief"": 0.15, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1953.0,0.6,GPT-4o,8,0.3,8,142,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",505.0,0.6,v2.3,2026-06-03T08:08:16.103345
1,human,Claude Opus vs GPT-4o,18,2,61.0,61.0,7.5,16,45.0,0,Claude Opus,8,0.15,8,150,"{""belief"": 0.15, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2351.1,0.6,GPT-4o,8,0.3,8,150,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",924.9,0.6,v2.3,2026-06-03T08:08:19.382384
1,human,Claude Opus vs GPT-4o,19,2,60.0,60.0,7.5,16,44.0,0,Claude Opus,8,0.15,8,158,"{""belief"": 0.15, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2859.9,0.6,GPT-4o,8,0.3,8,158,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",617.6,0.6,v2.3,2026-06-03T08:08:22.863427
1,human,Claude Opus vs GPT-4o,20,2,59.0,59.0,7.5,16,43.0,0,Claude Opus,8,0.15,8,166,"{""belief"": 0.15, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2556.4,0.6,GPT-4o,8,0.3,8,166,"{""belief"": 0.30, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",819.0,0.6,v2.3,2026-06-03T08:08:26.241386
2,human,Claude Opus vs Gemini 2.5 Flash,1,2,100.0,100.0,7.5,20,80.0,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2044.2,0.6,Gemini 2.5 Flash,10,0.6,10,10,"```json
{""belief"": 0.60, ""extraction"": 10}
```","{""prompt"": 0, ""completion"": 0}",6037.0,0.6,v2.3,2026-06-03T08:08:34.325901
2,human,Claude Opus vs Gemini 2.5 Flash,2,2,90.0,90.0,7.5,19,71.0,0,Claude Opus,9,0.4,9,19,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1129.6,0.6,Gemini 2.5 Flash,10,0.65,10,20,"```json
{""belief"": 0.65, ""extraction"": 10}
```","{""prompt"": 0, ""completion"": 0}",5288.1,0.6,v2.3,2026-06-03T08:08:40.747162
2,human,Claude Opus vs Gemini 2.5 Flash,3,2,83.0,83.0,7.5,18,65.0,0,Claude Opus,10,0.5,10,29,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1978.8,0.6,Gemini 2.5 Flash,8,0.7,8,28,"```json
{""belief"": 0.70, ""extraction"": 8}
```","{""prompt"": 0, ""completion"": 0}",5834.6,0.6,v2.3,2026-06-03T08:08:48.562256
