game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1716,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1002,0.6,v2.4,2026-06-08T15:33:13.312163
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,2,2,84,84,2,20,64,0,Claude Opus,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2472,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",736,0.6,v2.4,2026-06-08T15:33:16.521594
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,3,2,71,71,2,20,51,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2189,0.6,GPT-4o,10,0.5,10,30,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",749,0.6,v2.4,2026-06-08T15:33:19.461514
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,4,2,61,61,2,20,41,0,Claude Opus,10,0.3,10,40,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1737,0.6,GPT-4o,10,0.5,10,40,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",819,0.6,v2.4,2026-06-08T15:33:22.019054
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,5,2,53,53,2,20,33,0,Claude Opus,10,0.25,10,50,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1614,0.6,GPT-4o,10,0.5,10,50,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",675,0.6,v2.4,2026-06-08T15:33:24.311266
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,6,2,46,46,2,20,26,0,Claude Opus,10,0.2,10,60,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1672,0.6,GPT-4o,10,0.5,10,60,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",844,0.6,v2.4,2026-06-08T15:33:26.830222
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,7,2,41,41,2,20,21,0,Claude Opus,10,0.15,10,70,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2253,0.6,GPT-4o,10,0.5,10,70,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",729,0.6,v2.4,2026-06-08T15:33:29.814677
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,8,2,37,37,2,20,17,0,Claude Opus,10,0.15,10,80,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",9303,0.6,GPT-4o,10,0.5,10,80,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",775,0.6,v2.4,2026-06-08T15:33:39.896018
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,9,2,34,34,2,20,14,0,Claude Opus,10,0.15,10,90,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1484,0.6,GPT-4o,10,0.5,10,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",536,0.6,v2.4,2026-06-08T15:33:41.919040
1,undisclosed,partial,deterministic,Claude Opus vs GPT-4o,10,2,20,14,2,20,0,1,Claude Opus,10,0.1,0,90,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1514,0.6,GPT-4o,10,0.5,0,90,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",700,0.6,v2.4,2026-06-08T15:33:44.135941
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1732,0.6,Gemini 2.5 Flash,10,0.6,10,10,"{""belief"": 0.60, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",5540,0.6,v2.4,2026-06-08T15:33:51.413093
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,2,2,84,84,2,20,64,0,Claude Opus,10,0.4,10,20,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1436,0.6,Gemini 2.5 Flash,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",616,0.6,v2.4,2026-06-08T15:33:53.468479
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,3,2,71,71,2,20,51,0,Claude Opus,10,0.35,10,30,"{""belief"": 0.35, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1211,0.6,Gemini 2.5 Flash,10,0.4,10,30,"{""belief"": 0.40, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",522,0.6,v2.4,2026-06-08T15:33:55.204039
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,4,2,61,61,2,20,41,0,Claude Opus,10,0.3,10,40,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1720,0.6,Gemini 2.5 Flash,10,0.3,10,40,"{""belief"": 0.30, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",529,0.6,v2.4,2026-06-08T15:33:57.454263
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,5,2,53,53,2,20,33,0,Claude Opus,10,0.25,10,50,"{""belief"": 0.25, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1457,0.6,Gemini 2.5 Flash,10,0.2,10,50,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",528,0.6,v2.4,2026-06-08T15:33:59.442386
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,6,2,46,46,2,20,26,0,Claude Opus,10,0.2,10,60,"{""belief"": 0.20, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1595,0.6,Gemini 2.5 Flash,10,0.1,10,60,"{""belief"": 0.10, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",613,0.6,v2.4,2026-06-08T15:34:01.654021
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,7,2,41,41,2,20,21,0,Claude Opus,10,0.18,10,70,"{""belief"": 0.18, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2086,0.6,Gemini 2.5 Flash,10,0.05,10,70,"{""belief"": 0.05, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1183,0.6,v2.4,2026-06-08T15:34:04.926301
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,8,2,37,37,2,20,17,0,Claude Opus,10,0.15,10,80,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1741,0.6,Gemini 2.5 Flash,10,0.05,10,80,"{""belief"": 0.05, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",472,0.6,v2.4,2026-06-08T15:34:07.142093
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,9,2,34,34,2,20,14,0,Claude Opus,10,0.15,10,90,"{""belief"": 0.15, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1783,0.6,Gemini 2.5 Flash,10,0.05,10,90,"{""belief"": 0.05, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",593,0.6,v2.4,2026-06-08T15:34:09.521548
2,undisclosed,partial,deterministic,Claude Opus vs Gemini 2.5 Flash,10,2,20,14,2,20,0,1,Claude Opus,10,0.12,0,90,"{""belief"": 0.12, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1855,0.6,Gemini 2.5 Flash,10,0.05,0,90,"{""belief"": 0.05, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",618,0.6,v2.4,2026-06-08T15:34:11.997486
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,1,2,100,100,2,25,75,0,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",911,0.6,Gemini 2.5 Flash,15,0.5,15,15,"{""belief"": 0.50, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",5423,0.6,v2.4,2026-06-08T15:34:18.336979
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,2,2,80,80,2,23,57,0,GPT-4o,8,0.6,8,18,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",926,0.6,Gemini 2.5 Flash,15,0.4,15,30,"{""belief"": 0.40, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",519,0.6,v2.4,2026-06-08T15:34:19.785201
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,3,2,66,66,2,21,45,0,GPT-4o,6,0.7,6,24,"{""belief"": 0.70, ""extraction"": 6}","{""prompt"": 0, ""completion"": 0}",701,0.6,Gemini 2.5 Flash,15,0.3,15,45,"{""belief"": 0.30, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",517,0.6,v2.4,2026-06-08T15:34:21.007060
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,4,2,56,56,2,20,36,0,GPT-4o,5,0.8,5,29,"{""belief"": 0.80, ""extraction"": 5}","{""prompt"": 0, ""completion"": 0}",709,0.6,Gemini 2.5 Flash,15,0.2,15,60,"{""belief"": 0.20, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",821,0.6,v2.4,2026-06-08T15:34:22.540544
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,5,2,49,49,2,19,30,0,GPT-4o,4,0.85,4,33,"{""belief"": 0.85, ""extraction"": 4}","{""prompt"": 0, ""completion"": 0}",709,0.6,Gemini 2.5 Flash,15,0.1,15,75,"{""belief"": 0.10, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",518,0.6,v2.4,2026-06-08T15:34:23.770836
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,6,2,44,44,2,18,26,0,GPT-4o,3,0.9,3,36,"{""belief"": 0.90, ""extraction"": 3}","{""prompt"": 0, ""completion"": 0}",715,0.6,Gemini 2.5 Flash,15,0.05,15,90,"{""belief"": 0.05, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",813,0.6,v2.4,2026-06-08T15:34:25.301730
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,7,2,41,41,2,17,24,0,GPT-4o,2,0.95,2,38,"{""belief"": 0.95, ""extraction"": 2}","{""prompt"": 0, ""completion"": 0}",1024,0.6,Gemini 2.5 Flash,15,0.01,15,105,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",819,0.6,v2.4,2026-06-08T15:34:27.146701
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,8,2,39,39,2,17,22,0,GPT-4o,2,0.95,2,40,"{""belief"": 0.95, ""extraction"": 2}","{""prompt"": 0, ""completion"": 0}",708,0.6,Gemini 2.5 Flash,15,0.01,15,120,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",923,0.6,v2.4,2026-06-08T15:34:28.781355
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,9,2,38,38,2,17,21,0,GPT-4o,2,0.95,2,42,"{""belief"": 0.95, ""extraction"": 2}","{""prompt"": 0, ""completion"": 0}",919,0.6,Gemini 2.5 Flash,15,0.01,15,135,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",603,0.6,v2.4,2026-06-08T15:34:30.305615
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,10,2,37,37,2,17,20,0,GPT-4o,2,0.95,2,44,"{""belief"": 0.95, ""extraction"": 2}","{""prompt"": 0, ""completion"": 0}",932,0.6,Gemini 2.5 Flash,15,0.01,15,150,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",497,0.6,v2.4,2026-06-08T15:34:31.736525
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,11,2,36,36,2,17,19,0,GPT-4o,2,0.95,2,46,"{""belief"": 0.95, ""extraction"": 2}","{""prompt"": 0, ""completion"": 0}",830,0.6,Gemini 2.5 Flash,15,0.01,15,165,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",536,0.6,v2.4,2026-06-08T15:34:33.104462
3,undisclosed,partial,deterministic,GPT-4o vs Gemini 2.5 Flash,12,2,35,35,2,17,18,0,GPT-4o,2,0.95,2,48,"{""belief"": 0.95, ""extraction"": 2}","{""prompt"": 0, ""completion"": 0}",562,0.6,Gemini 2.5 Flash,15,0.01,15,180,"{""belief"": 0.01, ""extraction"": 15}","{""prompt"": 0, ""completion"": 0}",557,0.6,v2.4,2026-06-08T15:34:34.224827
