game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),1,2,100,100,2,22,78,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1189,0.6,Human Prior (Abatayo & Lynham 2022),12,0.58,12,12,"{""belief"": 0.58, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1682,0.6,v2.4,2026-06-03T19:27:19.506685
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),2,2,82,82,2,23,59,0,Claude Opus,12,0.6,12,22,"{""belief"": 0.60, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",1234,0.6,Human Prior (Abatayo & Lynham 2022),11,0.55,11,23,"{""belief"": 0.55, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1411,0.6,v2.4,2026-06-03T19:27:22.154217
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),3,2,67,67,2,21,46,0,Claude Opus,10,0.65,10,32,"{""belief"": 0.65, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",963,0.6,Human Prior (Abatayo & Lynham 2022),11,0.6,11,34,"{""belief"": 0.60, ""extraction"": 11}","{""prompt"": 0, ""completion"": 0}",1486,0.6,v2.4,2026-06-03T19:27:24.605122
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),4,2,57,57,2,18,39,0,Claude Opus,8,0.65,8,40,"{""belief"": 0.65, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1904,0.6,Human Prior (Abatayo & Lynham 2022),10,0.55,10,44,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2293,0.6,v2.4,2026-06-03T19:27:28.804679
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),5,2,51,51,2,17,34,0,Claude Opus,8,0.7,8,48,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1030,0.6,Human Prior (Abatayo & Lynham 2022),9,0.5,9,53,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1359,0.6,v2.4,2026-06-03T19:27:31.195484
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),6,2,47,47,2,16,31,0,Claude Opus,7,0.65,7,55,"{""belief"": 0.65, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1837,0.6,Human Prior (Abatayo & Lynham 2022),9,0.5,9,62,"{""belief"": 0.50, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1579,0.6,v2.4,2026-06-03T19:27:34.613313
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),7,2,45,45,2,18,27,0,Claude Opus,8,0.65,8,63,"{""belief"": 0.65, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1164,0.6,Human Prior (Abatayo & Lynham 2022),10,0.45,10,72,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1965,0.6,v2.4,2026-06-03T19:27:37.744756
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),8,2,42,42,2,16,26,0,Claude Opus,7,0.7,7,70,"{""belief"": 0.70, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",2032,0.6,Human Prior (Abatayo & Lynham 2022),9,0.48,9,81,"{""belief"": 0.48, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1451,0.6,v2.4,2026-06-03T19:27:41.231160
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),9,2,41,41,2,17,24,0,Claude Opus,8,0.7,8,78,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1203,0.6,Human Prior (Abatayo & Lynham 2022),9,0.45,9,90,"{""belief"": 0.45, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",1689,0.6,v2.4,2026-06-03T19:27:44.125781
1,human_prior,full,probabilistic,Claude Opus vs Human Prior (Abatayo & Lynham 2022),10,2,16,39,2,16,0,1,Claude Opus,8,0.7,0,78,"{""belief"": 0.70, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1823,0.6,Human Prior (Abatayo & Lynham 2022),8,0.5,0,90,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1521,0.6,v2.4,2026-06-03T19:27:47.473022
