game_id,condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,undisclosed,Claude Opus vs GPT-4o,1,2,100.0,100.0,10.0,22,78.0,0,Claude Opus,12,10.0,12,12,"{""belief"": 10.0, ""extraction"": 12}","{""prompt"": 0, ""completion"": 0}",2247.9,0.6,GPT-4o,10,10.0,10,10,"{""belief"": 10.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2309.2,0.6,v2.0,2026-04-29T10:56:46.606787
1,undisclosed,Claude Opus vs GPT-4o,2,2,98.0,98.0,10.0,23,75.0,0,Claude Opus,13,10.0,13,25,"{""belief"": 10.0, ""extraction"": 13}","{""prompt"": 0, ""completion"": 0}",1579.8,0.6,GPT-4o,10,12.0,10,20,"{""belief"": 12.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2176.9,0.6,v2.0,2026-04-29T10:56:50.364674
1,undisclosed,Claude Opus vs GPT-4o,3,2,95.0,95.0,10.0,24,71.0,0,Claude Opus,14,11.0,14,39,"{""belief"": 11.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1677.9,0.6,GPT-4o,10,13.0,10,30,"{""belief"": 13.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",887.2,0.6,v2.0,2026-04-29T10:56:52.931493
1,undisclosed,Claude Opus vs GPT-4o,4,2,91.0,91.0,10.0,24,67.0,0,Claude Opus,14,10.0,14,53,"{""belief"": 10.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1695.6,0.6,GPT-4o,10,14.0,10,40,"{""belief"": 14.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1007.6,0.6,v2.0,2026-04-29T10:56:55.636260
1,undisclosed,Claude Opus vs GPT-4o,5,2,87.0,87.0,10.0,24,63.0,0,Claude Opus,14,10.0,14,67,"{""belief"": 10.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1422.8,0.6,GPT-4o,10,14.0,10,50,"{""belief"": 14.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",2321.7,0.6,v2.0,2026-04-29T10:56:59.382772
1,undisclosed,Claude Opus vs GPT-4o,6,2,83.0,83.0,10.0,24,59.0,0,Claude Opus,14,10.0,14,81,"{""belief"": 10.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1839.0,0.6,GPT-4o,10,14.0,10,60,"{""belief"": 14.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1279.0,0.6,v2.0,2026-04-29T10:57:02.501848
1,undisclosed,Claude Opus vs GPT-4o,7,2,79.0,79.0,10.0,24,55.0,0,Claude Opus,14,10.0,14,95,"{""belief"": 10.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1611.9,0.6,GPT-4o,10,14.0,10,70,"{""belief"": 14.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1398.1,0.6,v2.0,2026-04-29T10:57:05.512933
1,undisclosed,Claude Opus vs GPT-4o,8,2,75.0,75.0,10.0,24,51.0,0,Claude Opus,14,10.0,14,109,"{""belief"": 10.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1955.4,0.6,GPT-4o,10,14.0,10,80,"{""belief"": 14.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",798.3,0.6,v2.0,2026-04-29T10:57:08.267836
1,undisclosed,Claude Opus vs GPT-4o,9,2,71.0,71.0,10.0,24,47.0,0,Claude Opus,14,10.0,14,123,"{""belief"": 10.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1777.5,0.6,GPT-4o,10,14.0,10,90,"{""belief"": 14.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",836.0,0.6,v2.0,2026-04-29T10:57:10.882396
1,undisclosed,Claude Opus vs GPT-4o,10,2,67.0,67.0,10.0,24,43.0,0,Claude Opus,14,10.0,14,137,"{""belief"": 10.0, ""extraction"": 14}","{""prompt"": 0, ""completion"": 0}",1850.6,0.6,GPT-4o,10,14.0,10,100,"{""belief"": 14.0, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1853.4,0.6,v2.0,2026-04-29T10:57:14.588187
